,MFSD6L.rescaled,TNNI3.rescaled,TNNT1.rescaled,FOXI1.rescaled,HOMER2.rescaled,DNAH2.rescaled,TDRD5.rescaled,KIF11.rescaled,MRAP.rescaled,CYFIP2.rescaled,ISG15.rescaled,AQP7.rescaled,MKI67.rescaled,IFI6.rescaled,CAMK2B.rescaled,TACC3.rescaled,NBPF3.rescaled,TPH1.rescaled,TPRG1.rescaled,TFB2M.rescaled,CDC20.rescaled,ESPL1.rescaled,PLK1.rescaled,OAS3.rescaled,ZNF140.rescaled,KNDC1.rescaled,C14orf180.rescaled,SYT3.rescaled,ARV1.rescaled,PKMYT1.rescaled,HEPACAM.rescaled,ITGA7.rescaled,DLGAP5.rescaled,TAT.rescaled,CES3.rescaled,IFI27.rescaled,SLC9A2.rescaled,GRIK3.rescaled,GATA5.rescaled,KIF20A.rescaled,BATF2.rescaled,POLQ.rescaled,ENTPD8.rescaled,WNK4.rescaled,TM4SF18.rescaled,PNCK.rescaled,TMPRSS6.rescaled,ERG.rescaled,SOWAHA.rescaled,BRSK1.rescaled,CELF4.rescaled,MX1.rescaled,TP53TG5.rescaled,CDCA2.rescaled,SCNN1B.rescaled,CASP14.rescaled,TMEM150C.rescaled,CXCL13.rescaled,CBX2.rescaled,CHST8.rescaled,SCNN1G.rescaled,TMSB15A.rescaled,SRP9.rescaled,ADH1A.rescaled,MMP1.rescaled,FOXD2.rescaled,MCM10.rescaled,KIF1A.rescaled,FADS2.rescaled,NEU4.rescaled,OXGR1.rescaled,RSAD2.rescaled,OTUD3.rescaled,A2ML1.rescaled,SMOC1.rescaled,KIF2C.rescaled,ENTPD3.rescaled,PCDHAC1.rescaled,IFIT1.rescaled,MND1.rescaled,CYP2C8.rescaled,NMNAT1.rescaled,SYNGR3.rescaled,OASL.rescaled,GSDMC.rescaled,PPP1R3C.rescaled,TRHDE.rescaled,NAT8B.rescaled,NCAPH.rescaled,RAET1L.rescaled,HS6ST2.rescaled,SLC28A1.rescaled,PCK1.rescaled,EPHX1.rescaled,ACTL8.rescaled,POTEC.rescaled,NCAPG.rescaled,STAT1.rescaled,IRF7.rescaled,IL22RA2.rescaled
MFSD6L.rescaled,1.0,0.2157091011128832,0.2965722466230408,0.3098679496069607,0.2244425555569889,0.3360330874619715,-0.1459311012244839,0.2148010406857799,-0.0112585053734953,0.312902262784792,0.2004156324920041,0.0455003400584146,0.1077930912086368,0.2814781211688075,0.1179062815543035,0.1053815679742084,-0.110834802371118,0.361458843855752,0.4549709187784732,-0.0779395011747424,0.0608929476631344,0.1783427442184208,0.0730054805567219,0.2854954363059165,0.1060736602325041,0.1237887017069841,0.0438175124493969,0.035874455546026,-0.1027611052862398,0.1342422807145292,0.0684361151571075,0.0685277322406915,-0.0369600504946497,0.0300910911282175,-0.0870511736948739,0.1921887256256171,-0.0524501536328578,0.0819003470519064,0.0339502679672277,0.0137580978375517,0.160615269052938,0.0163882302568209,0.3577870591751109,-0.0750826724121262,0.0005162350798325,0.1772261597978555,0.2831823698938585,0.1103256301760921,-0.0289965513597754,0.2639892474076022,-0.1795612233972996,0.2744202837950804,-0.1459546096854869,-0.0999182919491706,0.0168053199937557,0.0260541192380851,-0.2241632072430489,-0.1519395369889988,-0.1802581045855712,0.0329659633982627,0.0695377519728852,-0.2143457838322195,-0.1714488491930259,0.103139503800596,-0.1212195654569441,0.2348604928470927,0.0611846640102094,-0.0071104456460835,-0.0860318790843718,0.2873933475395426,-0.0862934036244323,0.0977561640004255,-0.201101601010273,-0.1077281249535445,-0.148426219009433,0.055831043954383,-0.1352213595053336,0.1227367592992578,0.2419403400953177,-0.1284204176392029,0.1170779992770245,0.0856066259392945,0.1929068772328191,0.1626686230720326,-0.2575595839828783,-0.0905722355514913,0.1567980289983024,0.133563521289803,0.1163220277976677,-0.0863253340829974,-0.224667161817542,0.0451989881382806,0.0277707379963898,-0.0981291173509738,-0.0933117285752549,0.2305542716916436,-0.0250527532420452,0.0776464560505485,0.2113522493321087,-0.1219871676661286
TNNI3.rescaled,0.2157091011128832,1.0,0.6004247670633343,0.2599259498683224,0.3438815134389594,0.1547032940811177,-0.0262974220173526,0.0336075655480146,0.0400097358511521,0.2039717928154126,0.0277357655561482,0.0777608819619616,-0.0067749345815684,0.0036497833911027,0.2190733369977378,0.115820845041789,-0.0681233184695402,0.1392011780980387,0.045442712745071,0.094600016894917,0.0466380478775038,-0.0336660962783134,0.0967893941434765,0.0082257920017557,-0.1255962233769384,0.292113220378843,0.0207372501128745,0.0548499982417165,-0.0003840832517393,0.2860641034246453,0.0359436879601733,0.109434849759691,0.0419249835807951,0.0770125486169072,-0.0487860769068468,0.0239382417080949,-0.2584857412994327,0.1122337001852383,0.1052619659091976,-0.0438208265909406,0.0436020450170214,0.046701338827129,0.2465890781614013,-0.0163519606409626,0.1719655695961715,0.2418529896424645,0.207630860163936,0.2417756259833999,0.2032237846820769,0.5076029435884313,0.1406491835460181,0.0317242645858029,0.1292115731711413,-0.0544785226481938,0.0286422277489228,0.0146488285004698,0.2246135068286353,-0.0589428046830316,-0.0667730744457705,0.2246327094171896,0.0426356119485883,0.1856902054999411,-0.0424092215239254,0.1449338463878225,-0.1656883270462373,-0.0012481140095048,0.0547981199789077,0.118145717822068,0.0954389123027733,0.0663206981622738,0.0773748699457399,-0.0109954396064093,-0.1702998052262452,-0.0102294072687282,0.0724740557812744,0.0447530493187472,-0.1479557655525405,0.1030526341377816,0.0555892773787434,0.0432819299762791,0.416092798179708,0.1406476739597132,0.4725354725558955,-0.0237690587180809,-0.0458251099831056,0.1578014153567438,0.1032387776772581,-0.2017135259008687,0.017595558185338,0.0061867985139621,-0.1520625847760522,0.1231035654499784,-0.0192887414459178,0.1249069926574826,0.0448227173426296,-0.0241950675756303,0.0195963921615806,-0.1169811210932642,-0.0263960043735701,0.0199721599348486
TNNT1.rescaled,0.2965722466230408,0.6004247670633343,1.0,0.0886164409548709,0.3475847600620061,0.2903397337745965,-0.083904661431563,0.1916354715394412,0.0699033873898091,0.3055791952347993,0.1867998057771552,0.1374591775965096,0.1251906792506676,0.2148973167520543,0.1741675373091724,0.182937473988201,0.083761016271202,0.238489018611476,0.1899062331127189,0.0225539026150504,0.0415050035966594,0.1324695782416366,0.1975939256932337,0.1785394166373385,-0.0956525875317774,0.337647239502668,0.0874833183398126,0.0858135136114749,-0.027183622499413,0.2731653936260076,0.1157877028527167,0.1593808809328214,0.0223176732707037,0.1050461958411433,-0.0781961236855489,0.1457230857553628,-0.1691491613672021,0.2228841203004192,0.0859558132999199,0.0909811547576242,0.0892426752397618,0.0804080408091187,0.2836185007445691,-0.0417645740373435,0.0932591472335397,0.3890012234090012,0.3103226626297483,0.2586180358838136,0.1525659076552282,0.5439395456860004,0.1581732464758373,0.2083630268561883,-0.0308518744004092,0.093434493174263,0.0425243860097317,0.1806046259590097,0.0412480681059931,-0.0850189875788118,0.1133473247506586,0.2330730076277689,0.1539438086138868,0.1089934313514076,-0.0304425225589256,0.2215060043222832,0.0285719270668261,0.0550788579087914,0.1528134331521314,0.1517195543559378,-0.0182010054992872,0.0513774412842939,0.1037684356159336,0.1392690846525755,-0.0782392922170312,-0.0411136852345873,-0.1863954422704698,0.0493453313881182,-0.066731045290103,0.248613965266125,0.2155354613488078,0.0692316840796607,0.2985345632822048,0.0815462787481627,0.4463503916587131,0.09920434742599,-0.0014366635103756,0.1460116648815491,0.2119675024714997,-0.1151819496111848,0.1317276241067395,-0.0027657238586853,-0.077313938346322,0.3474847278758174,0.0695099423326287,0.1384114069478105,-0.0332206571957218,0.1056915179342992,0.054720849070915,0.00534762034477,0.129662208009052,-0.1504553353258808
FOXI1.rescaled,0.3098679496069607,0.2599259498683224,0.0886164409548709,1.0,0.3776600130663806,0.3120480770151374,-0.0084835849154719,0.1243203691980423,0.0028687209959234,0.1992168807815057,-0.048529194437617,-0.0069922511080203,0.0529569356587882,-0.0127509844396944,0.0865670106257667,0.0344547253385891,-0.2342135625350019,0.3442202039724921,0.3909002461872238,0.0567854693089266,-0.0464290643220892,0.0820360931219317,-0.0270354038317072,0.1051858755187924,-0.1033646652481083,-0.0298086215025408,-0.0145518794536933,-0.1339711818342806,-0.0674018802479368,0.0894009754050607,-0.0610688277422132,0.0377462703140381,0.0344574559066128,-0.1968656775912828,0.0688238620079491,0.022308892629207,-0.1704036002631722,0.1316045338421863,-0.117199044632375,-0.148075832218752,0.0790158871806663,0.0619391880422531,0.2849177400702429,-0.1153796801406871,0.0393574203123103,-0.2624615879208406,0.3006618579904028,0.127062153606924,0.1927610822103914,0.2394848258664685,0.0805640396838149,-0.0445159365024899,-0.2392207548564744,-0.1048865882226915,-0.0176232475145153,-0.1689919239493484,0.0319317355005206,0.0503909821306185,-0.38211829234216,0.0008189337847089,0.1062643118982723,-0.0752159504345018,-0.0165504283075242,0.0612899409888218,-0.2767604267543645,0.0938444779909495,0.0147924791320367,-0.2758940707511444,0.0057827712278348,0.0231571045067298,0.0138363466237203,-0.0875392388338928,-0.3512098534376563,-0.2236514839105293,0.2166571593604864,-0.0245035170716432,-0.0671016445058224,0.1551442270483432,0.0516717648480233,-0.0058027872022107,0.4328985840913966,-0.1499340569467303,0.1564562270113851,-0.0421468188636091,-0.200374673804266,-0.0260239004151614,0.090366888879511,-0.0338789205649862,0.0147380506564028,-0.2312669871021156,-0.3175355434504104,-0.059710405553766,-0.0085455448259657,0.0259529899991847,-0.1044595998413448,0.1063057121163208,-0.0395881764486398,-0.1338638487561899,0.0197420922308418,-0.0492062925366106
HOMER2.rescaled,0.2244425555569889,0.3438815134389594,0.3475847600620061,0.3776600130663806,1.0,0.3057949534262633,0.0208304511079662,-0.0438912220168362,0.0153559094602157,0.2544276499346822,0.0534352396558781,-0.0061428023592726,-0.133058883499261,0.1312437372727815,0.1526205724271125,-0.1115594180489551,-0.0798860292512225,0.3299031456270426,0.1899210296858612,0.1861258399085192,-0.1177367062070882,-0.1131501388999048,-0.1063616454703998,0.100396625213978,-0.0668135587990608,0.0821308207268371,0.017453415089443,-0.1538133415213269,0.0666746317262359,0.0726786909448256,-0.0605361506345598,0.053116344692232,-0.1510782103902729,-0.0521155303616913,-0.1131707510143953,0.0660638293385219,-0.3072098633262649,0.4256411677041287,-0.1174444273605933,-0.219367284846543,-0.0405152294763038,0.0033260674346625,0.246888917415536,-0.2096424910681119,0.3625928143577221,0.0243545102961735,0.3105344940035718,0.2358659413400332,0.3280111898908797,0.3011039878707764,0.0372267663412626,0.0801560430281894,-0.1980199198740566,-0.1520121073802326,0.0120214581842967,0.0020081494525102,0.1451850157396587,0.0353706547055932,-0.3864214030904649,0.0167859807723087,0.1500909926203133,0.0525556574040723,0.0059720883431327,0.0301183889184641,-0.3297347923703297,-0.0296615839167309,-0.1074393073661573,-0.145761682976984,-0.0132293911258287,-0.0991105978228813,0.0587115448359132,0.0343077727920436,-0.219726634856498,-0.2743758267704994,0.0156435360259914,-0.1017743059877642,0.1903117239170337,0.2421330546610643,0.1765107242162525,0.0289171091026768,0.4303163601952798,0.030085085113769,0.2729609732292647,0.0015784470320367,-0.1986526860558644,0.1207817525777184,0.0641440273816463,0.0220338830609631,0.0188435586810518,-0.1617427113987146,-0.2773949066666057,0.0795670669344018,-0.0521756239068685,0.2614550471740721,-0.1504607953038925,-0.0143330625079206,-0.1424119481236841,-0.0849897341879855,-0.0039561267794914,-0.1252046838641242
DNAH2.rescaled,0.3360330874619715,0.1547032940811177,0.2903397337745965,0.3120480770151374,0.3057949534262633,1.0,-0.1127068092610105,0.2330013054675219,0.1221306719182995,0.217720371597296,0.050337490975488,0.1395495611485447,0.1981359703943203,0.0548966867457002,0.1713664857468775,0.159525226014695,0.0324113412902266,0.250374916415834,0.3484069510410882,0.0857199820156057,0.1407009901300053,0.1874570714572644,0.0868579882474603,0.1333273675477474,-0.0607058809759446,0.196386646929151,0.078167430800182,0.2840821151935637,-0.052731826811608,0.2298840932509673,0.0497415221408735,0.0713404590942587,0.08655104517432,-0.0884812992154737,0.0711850367384373,0.0915234404051683,-0.0673060168987985,0.3182599489036974,-0.0687354459407934,0.1240613452165542,0.1748340949171233,0.0747625925707997,0.2723616863981625,-0.1150859440586217,0.0047057563329133,0.1935499478274049,0.2409567180439182,0.2161061680602554,0.013316843445863,0.2968398471507598,-0.0092311376659131,0.0985168382759593,-0.1739546007254297,0.114854752132848,-0.0772806863989439,0.0403575981221804,-0.1074821053072958,-0.0095452859951477,-0.08827410648386,0.1128211860022175,0.1507177217689529,0.0617423826739523,-0.0663636177452371,0.1386627363882143,-0.0914569963934748,0.1144653132952089,0.1059499243397607,0.0783100557613091,-0.0643858285657375,0.13920528001275,0.0347888520307014,-0.0234900400776968,-0.3078495113204619,-0.0745794071363169,0.0408267734229014,0.0844017312245155,0.0575714797589624,-0.0868859095740086,0.0369951713288652,0.0370832886298914,0.2521353011747788,-0.228791719461402,0.0571611931690001,0.0344997803071168,-0.0630324131778339,0.0960421671147711,0.2067617141001974,0.2343434827828449,0.1896483704380158,-0.0288926091249428,0.0730777810111666,0.0670975366285581,0.053583462504528,0.1199011620436247,-0.0343326090742385,0.145029557301143,0.060157436287164,0.0354845280851264,0.1293400425472244,-0.0404449688529441
TDRD5.rescaled,-0.1459311012244839,-0.0262974220173526,-0.083904661431563,-0.0084835849154719,0.0208304511079662,-0.1127068092610105,1.0,-0.1190817368331068,0.0085694211432343,-0.0070733929681499,0.0540716990566802,0.0173125936385107,-0.0113311100081477,0.0795631390426489,0.0417935930289576,-0.0918983369084948,0.0869385017936164,0.0820505950918768,-0.0597802851001247,0.1872033949832175,-0.0728938148551993,-0.131174203898175,-0.030552502201234,0.0041057827738548,0.1126379076967258,-0.0103196768256145,0.0896934858555059,-0.0730913544934719,0.197478061511417,-0.0027116337306266,0.0995790991836182,0.0387930299251431,-0.0702706560805909,0.0220494740586817,0.0773175618704204,0.022941684206329,-0.0876381814575032,0.1083950148427661,-0.0128302621521984,-0.0908391806362942,0.0733337201418871,-0.0794995813660198,-0.0295041112184152,0.1071437062022548,0.0941740684486698,-0.0006660354529976,0.0843353699455784,-0.0474802430273986,0.1910513204585022,-0.0298183052001777,0.1773193247930382,0.0761248198252332,-0.080943096153171,-0.0490774144348932,0.2446522413705991,0.0569265073452954,0.0972191177968311,-0.1208559717538851,-0.0418522624023712,0.0334080122855597,0.2672870499684387,-0.0781816170879467,0.1854465352190676,-0.030528463591383,0.0651310986450518,-0.1430050700947787,-0.1217963422338759,-0.1273796229699669,0.1034708765764541,-0.0407325898002577,-0.0812818202484304,0.0966762311877899,0.2369236922728738,-0.028861739494562,0.0085754437852591,-0.1111582088590384,-0.0018838641612235,0.0699227837847788,0.0784426941786381,0.0026755662448066,-0.0427560741858655,0.1801950196271853,-0.1252668569140818,0.0224460626152674,-0.0012699483767852,0.1856292707624583,0.0489870719128605,0.0343409100580488,-0.0611754700038162,-0.0118489813285932,0.0158944497029732,0.1406586604673378,0.0163304090362499,-0.0214493714011595,-0.1574959264267251,0.0110547670943554,-0.0843667453857217,-0.0108125617160618,0.1265354683377991,-0.0204526807434662
KIF11.rescaled,0.2148010406857799,0.0336075655480146,0.1916354715394412,0.1243203691980423,-0.0438912220168362,0.2330013054675219,-0.1190817368331068,1.0,0.1941687699120226,0.1238026959472771,0.292603400029662,0.254815160944789,0.8275538132776208,0.2440433804106641,0.0391562183227512,0.7609899782113669,0.1539344864746122,0.1318843378121572,0.3330738221850747,-0.273936626660973,0.7115078439536034,0.7892396915533586,0.7950284175129054,0.3572884168078714,-0.0453095276302684,0.0034466586216557,0.1874403706602856,-0.1117155823313011,-0.2384146642247986,0.7002175876246194,0.1817028278202485,0.3129238117315633,0.8367946630173255,-0.0757492807353784,0.0929444181572159,0.3437388721166532,0.0134104405094736,-0.0785114917063488,-0.0173501697937523,0.7867556854380556,0.2163120941918101,0.7337900083517104,0.3724464643033477,0.0954485520386311,0.1588502035782043,0.0002298605415752,0.1339879717296973,0.4051953152272853,0.0003312913417208,0.132992443035796,0.2113833780186362,0.1592343888579421,-0.2184523888591318,0.6652585817979717,-0.1325732581528734,0.0214404054396959,-0.1977605298265714,0.050058854324337,0.1257231403429771,0.0284209976248839,0.0555307613402252,0.1741716167566376,-0.4320855470559641,0.2256760681111619,0.1776946412586986,0.2483956658449015,0.8018705954441249,0.1335083221341436,-0.0108619563574694,0.280615009663287,0.0657706983518664,0.1374954348180503,-0.2133594019865837,0.0609054128918341,-0.1899979081945046,0.8053228853160691,0.1692656816755066,0.0272784583132541,0.2108672908750106,0.542354878605676,0.1043360766860882,-0.0017139649690537,0.1677801501118062,0.2312489414158293,0.0171732193698266,0.136667572187808,0.1971666162629464,0.1752205807551994,0.8433709416639462,0.186310396399186,0.0273423133901576,0.002416142180406,0.168558658002629,0.0442037448069403,0.3341255384309335,0.1308929739139101,0.810305532211226,0.3302207176949239,0.1878126556407837,0.1709383054529727
MRAP.rescaled,-0.0112585053734953,0.0400097358511521,0.0699033873898091,0.0028687209959234,0.0153559094602157,0.1221306719182995,0.0085694211432343,0.1941687699120226,1.0,-0.043692364482104,0.2219036855580566,0.911338193763662,0.2625470794515339,0.1221847671578892,-0.0954787185683412,0.2719682777088084,0.2311822317774239,0.0111919810156652,0.0575351259876756,0.0223689493125223,0.409157066445549,0.2294984506172764,0.2764998100602411,0.0596254904274672,0.0005461677336799,-0.0177125702042207,0.8790311026854783,0.3921470000838149,-0.0197970333558087,0.2881286818174296,0.8892105831624874,0.8585974236621856,0.2869269370535879,-0.0644416744696993,0.2309964537596905,0.0814618334605463,0.0750677850028505,0.0057594671910305,0.0847206990285641,0.3088425377756195,0.149210193843369,0.0383859401603385,0.0481601350826894,0.4261216881053939,0.1119105098273475,0.2139055152172118,0.084989106921195,0.6514130655949049,0.1142241746372887,-0.009825708005533,0.0092842739487977,0.0344468327920922,0.154106745823976,0.2479011148743519,-0.0715974512408897,0.3266387449490748,-0.0585240041638559,0.2709082646817681,0.2886221725659016,0.0353319326479793,0.0370897719520474,0.2574681902263687,-0.1581622016863756,0.7485585726294187,0.4138314768291772,-0.1481043049721127,0.2571393618461263,0.2705622165712688,0.2687266450055496,-0.0781360736578367,-0.1105948894671295,0.0700613609476241,0.1151143929151129,0.3001435139849349,-0.09729829327969,0.2953049873280491,0.0719757325311893,-0.1522537600360481,-0.0049415523927924,0.3644994314276224,-0.0816234064323264,-0.1479006998155123,-0.0920561427974426,0.0728502247438785,0.3426118685819423,0.3717358015577223,0.865243989367728,0.2371354729129726,0.2842110150175623,0.3288324867004432,0.2452912105276092,0.2551193100276063,0.8824845919883212,0.1897721726396463,0.3555067522641353,0.0354231550489477,0.2428976856306361,0.1481771156585077,0.2830305729909509,0.293035152219085
CYFIP2.rescaled,0.312902262784792,0.2039717928154126,0.3055791952347993,0.1992168807815057,0.2544276499346822,0.217720371597296,-0.0070733929681499,0.1238026959472771,-0.043692364482104,1.0,0.3014382808629075,-0.0014538333659211,0.1685524829358798,0.4182629765795578,0.0951430910243384,0.1780337830069776,0.0518990245190812,0.5589186065870763,0.2410202246661984,0.1420957752730342,0.0600355702135078,0.0761172294670464,0.1565376060094195,0.4336753773276343,0.1034201330312187,-0.0246973183971501,-0.0052268383844271,-0.0344123803652487,-0.0456903353868754,0.0661589053658941,0.0112558505382285,0.0054482250466756,0.0406900115529095,0.117124104837304,-0.0240609805626552,0.1283755167972827,-0.0395860599906166,0.2048155078154248,0.152135846929509,0.0448040327773893,0.2298666822720872,0.0255407160165839,0.3566161521722424,0.0847482458634393,0.1621796160943189,0.0692863180988323,0.2630728467158003,0.1015616710031891,0.0077300700451844,0.2912832989467029,-0.0199177061259021,0.3552412223757642,-0.2791244457746124,0.0292711716071549,-0.0302464471639407,0.0620771511271707,0.0084122936256939,0.2091887274779244,-0.0909442746738476,0.019957840065249,-0.0347741855217474,0.0716386728438598,0.1903567127269102,0.0967980920828713,-0.025676358099306,0.1599421765390492,0.0396199033238094,0.1233345825116799,0.1243457980415155,0.0630577671563027,0.0871761411683001,0.2895268942830014,-0.1221479229771924,-0.0828544337892129,-0.0298480753208662,0.0637807833138051,0.0554074857729203,0.0926605738584112,0.3115143499759396,0.0538277504077955,0.2906315236470816,0.010549831490976,0.3543322992860639,0.3098386199700573,0.1118993129261677,0.3148196439336131,0.0403150115403968,0.0488670329679173,0.1722964079587909,0.0996759349616656,-0.2458699569397191,0.1344114521256216,-0.0601015202854736,0.1096885692223653,0.0692531924184804,0.1391486884981553,0.1004803352643794,0.3136532540416786,0.1219607443890805,-0.0048517790411944
