,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
TDRD1.rescaled,3.0,4.0,4.5,4.5,2.0,42.0,24.0,26.0,31.0,32.0,173.0,1.0
GRIK3.rescaled,11.0,40.5,2.0,3.0,5.0,46.0,49.0,31.0,39.0,15.0,241.5,0.999545888467556
SLC7A4.rescaled,12.0,9.0,147.0,159.5,43.0,7.0,3.0,3.0,3.0,7.0,393.5,0.9985382249211106
LRP2.rescaled,77.0,210.0,103.5,69.0,21.0,1.0,1.0,2.0,2.0,1.0,487.5,0.9979150645700192
BEX2.rescaled,116.0,74.5,175.5,8.0,43.0,26.0,30.0,34.0,25.0,45.0,577.0,0.9973217363633952
AGTR1.rescaled,215.0,3.0,7.5,2.0,6.0,47.0,46.0,104.0,96.0,65.0,591.5,0.9972256105645568
CKMT1B.rescaled,96.0,104.0,145.5,21.0,177.5,8.0,6.0,14.0,14.0,24.0,610.0,0.9971029673039696
SLC4A4.rescaled,34.5,90.0,51.5,88.5,14.0,45.0,64.0,99.0,50.0,77.0,613.5,0.9970797645249396
ENPP5.rescaled,61.5,31.5,15.0,88.5,97.0,66.0,59.0,70.0,69.0,69.0,626.5,0.9969935827742568
CKMT1A.rescaled,248.0,130.0,28.5,134.5,145.0,6.0,52.0,8.0,30.0,5.0,787.0,0.9959295696215958
RAB40A.rescaled,20.0,7.0,67.0,22.0,9.0,141.0,125.0,126.0,151.0,137.0,805.0,0.9958102410437272
IER2.rescaled,137.5,130.0,85.0,253.5,145.0,49.0,67.0,47.0,48.0,70.0,1032.0,0.9943053750894963
AGXT2.rescaled,34.5,57.5,51.5,16.0,59.0,143.0,163.0,199.0,130.0,201.0,1054.5,0.9941562143671608
PLCH2.rescaled,7.5,74.5,385.5,111.0,76.5,73.0,77.0,82.0,83.0,89.0,1059.0,0.9941263822226936
IGFALS.rescaled,47.0,105.0,210.5,68.0,480.0,16.0,12.0,137.0,46.0,27.0,1148.5,0.9935330540160696
PCDHA1.rescaled,217.0,130.0,175.5,88.5,251.0,107.0,70.0,29.0,85.0,73.0,1226.0,0.9930192781946912
TAL2.rescaled,16.0,19.5,51.5,291.5,97.0,212.0,175.0,125.0,111.0,215.0,1313.5,0.9924392087189414
OGDHL.rescaled,16.0,57.5,28.5,33.5,145.0,161.0,234.0,217.0,389.0,190.0,1471.5,0.9913917689798732
HSP90AA1.rescaled,96.0,57.5,125.5,16.0,14.0,281.0,189.0,277.0,246.0,227.0,1529.0,0.9910105804672376
GRB14.rescaled,248.0,130.0,175.5,332.5,145.0,74.0,50.0,68.0,128.0,182.0,1533.0,0.9909840630054892
GABRB3.rescaled,10.0,155.5,385.5,370.0,247.0,87.0,87.0,74.0,13.0,121.0,1550.0,0.9908713637930576
CBWD3.rescaled,96.0,57.5,15.0,188.5,97.0,136.0,271.0,166.0,517.0,123.0,1667.0,0.9900957280369124
NRIP3.rescaled,23.0,6.0,4.5,11.0,43.0,140.0,135.0,360.0,133.0,822.0,1677.5,0.9900261196998223
SOWAHA.rescaled,423.5,23.0,106.0,10.0,184.5,70.0,179.0,260.0,361.0,128.0,1745.0,0.9895786375328154
ESRRG.rescaled,96.0,130.0,125.5,134.5,145.0,111.0,456.0,333.0,136.0,194.0,1861.0,0.9888096311421072
TAS2R10.rescaled,34.5,31.5,15.0,88.5,31.5,422.0,202.0,371.0,366.0,302.0,1864.0,0.9887897430457956
ATP1A3.rescaled,248.0,90.0,85.0,425.5,438.0,223.0,69.0,109.0,173.0,96.0,1956.5,0.9881765267428602
NPY5R.rescaled,7.5,106.0,7.5,482.0,909.0,146.0,217.0,9.0,28.0,75.0,1987.0,0.9879743310970274
CNTF.rescaled,96.0,182.5,175.5,134.5,145.0,258.0,235.0,327.0,265.0,235.0,2053.5,0.9875334782954576
PAX2.rescaled,321.5,427.0,331.5,425.5,277.5,52.0,71.0,131.0,76.0,22.0,2135.0,0.9869931850123306
COL4A6.rescaled,9.0,72.0,28.5,6.5,19.0,436.0,496.0,361.0,302.0,570.0,2300.0,0.9858993397152024
TMC3.rescaled,34.5,90.0,51.5,33.5,31.5,142.0,320.0,1297.0,259.0,107.0,2366.0,0.9854618015963512
JUNB.rescaled,321.5,332.5,241.5,543.0,350.0,123.0,133.0,208.0,99.0,118.0,2469.5,0.9847756622736072
ARHGEF38.rescaled,321.5,539.0,241.5,543.0,97.0,236.0,111.0,111.0,120.0,168.0,2488.0,0.98465301901302
HS6ST3.rescaled,61.5,90.0,51.5,88.5,31.5,435.0,280.0,639.0,469.0,402.0,2548.0,0.9842552570867916
