,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
TACC3.rescaled,5.0,4.0,7.0,12.0,5.5,6.0,9.0,6.0,5.0,11.0,70.5,1.0
KLHDC7A.rescaled,8.5,21.5,35.5,36.0,9.0,12.0,11.0,4.0,3.0,40.0,180.5,0.9992726190672993
HOXC12.rescaled,15.0,5.5,27.0,72.0,41.5,7.0,8.0,2.0,15.0,1.0,194.0,0.9991833495891952
NEIL3.rescaled,25.5,28.0,27.0,92.5,60.0,8.0,15.0,23.0,17.0,7.0,303.0,0.998462581210428
MKI67.rescaled,21.5,68.5,19.5,17.5,15.0,18.0,30.0,35.0,41.0,53.0,319.0,0.9983567803474898
TFPI2.rescaled,34.0,28.0,47.5,24.5,22.5,33.0,59.0,26.0,34.0,17.0,325.5,0.998313798746921
GAL3ST2.rescaled,113.5,45.0,60.0,47.5,60.0,37.0,17.0,15.0,11.0,32.0,438.0,0.9975698864293862
YBX2.rescaled,34.0,161.5,60.0,72.0,60.0,15.0,7.0,37.0,13.0,25.0,484.5,0.9972624026714718
SYT13.rescaled,69.0,96.5,88.0,84.5,139.0,2.0,10.0,14.0,8.0,9.0,520.0,0.9970276570068276
GYPE.rescaled,69.0,35.5,35.5,36.0,41.5,85.0,159.0,25.0,21.0,24.0,531.5,0.9969516126365906
CDC20.rescaled,54.5,55.0,35.5,47.5,114.0,66.0,120.0,39.0,43.0,23.0,597.5,0.9965151840769702
TROAP.rescaled,8.5,16.5,11.5,9.5,22.5,162.0,122.0,12.0,192.0,113.0,669.5,0.996039080193748
TBC1D3.rescaled,133.5,55.0,162.5,133.0,191.5,1.0,2.0,1.0,1.0,3.0,683.5,0.9959465044386768
NCAPH.rescaled,54.5,68.5,74.5,72.0,139.0,58.0,152.0,33.0,94.0,38.0,783.5,0.9952852490453126
GREB1L.rescaled,113.5,116.5,74.5,109.5,95.5,52.0,155.0,43.0,40.0,41.0,840.5,0.9949083334710948
LTF.rescaled,99.5,136.0,98.0,230.0,165.0,20.0,27.0,28.0,30.0,12.0,845.5,0.9948752707014268
PPP2R2C.rescaled,45.0,55.0,60.0,41.5,84.5,91.0,287.0,80.0,60.0,98.0,902.0,0.9945016614041758
CDC25A.rescaled,25.5,96.5,60.0,72.0,33.0,49.0,175.0,87.0,175.0,148.0,921.0,0.9943760228794366
EDARADD.rescaled,158.5,266.0,98.0,133.0,220.5,14.0,3.0,19.0,7.0,6.0,925.0,0.994349572663702
TONSL.rescaled,158.5,116.5,74.5,47.5,74.0,139.0,110.0,58.0,133.0,50.0,961.0,0.9941115207220907
RBP7.rescaled,85.5,116.5,220.5,192.5,95.5,48.0,26.0,107.0,83.0,21.0,995.5,0.9938833876113802
KAAG1.rescaled,146.0,45.0,104.5,145.5,90.0,46.0,226.0,8.0,161.0,42.0,1014.0,0.9937610553636078
ANKRD30B.rescaled,113.5,219.5,88.0,230.0,264.0,24.0,6.0,13.0,24.0,36.0,1018.0,0.9937346051478732
PCDHA11.rescaled,85.5,75.5,35.5,72.0,60.0,27.0,447.0,73.0,88.0,78.0,1041.5,0.9935792101304326
DNAH2.rescaled,158.5,186.5,325.0,109.5,95.5,74.0,24.0,51.0,32.0,19.0,1075.0,0.9933576895736556
CENPA.rescaled,12.0,68.5,162.5,133.0,60.0,158.0,12.0,394.0,12.0,65.0,1077.0,0.9933444644657884
FOXI1.rescaled,261.5,136.0,220.5,230.0,191.5,4.0,22.0,5.0,9.0,10.0,1089.5,0.9932618075416176
AURKB.rescaled,85.5,161.5,74.5,192.5,74.0,197.0,80.0,75.0,66.0,127.0,1133.0,0.9929741614455044
RECQL4.rescaled,133.5,219.5,135.5,133.0,165.0,54.0,144.0,116.0,44.0,77.0,1221.5,0.9923889504223768
PLK1.rescaled,186.5,266.0,162.5,133.0,264.0,90.0,98.0,44.0,39.0,74.0,1357.0,0.9914929493643684
RGS1.rescaled,69.0,186.5,162.5,161.5,191.5,102.0,156.0,145.0,118.0,117.0,1409.0,0.9911490965598188
ATP6V0A4.rescaled,113.5,96.5,220.5,109.5,95.5,176.0,102.0,93.0,249.0,160.0,1415.5,0.9911061149592502
PKMYT1.rescaled,158.5,266.0,260.5,161.5,220.5,53.0,28.0,110.0,38.0,120.0,1416.0,0.9911028086822832
CCNA2.rescaled,34.0,21.5,16.0,36.0,11.0,611.0,378.0,47.0,163.0,116.0,1433.5,0.9909870889884446
