,accuracy_diff_4.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,rank_total,rank_fin
MFSD6L.rescaled,61.0,17.5,13.0,50.5,10.0,10.0,6.0,16.0,184.0,1.0
TNNI3.rescaled,37.5,47.0,120.5,76.5,20.0,21.0,25.0,40.0,387.5,0.9983150904966136
TNNT1.rescaled,30.0,111.0,354.5,88.5,43.0,16.0,16.0,9.0,668.0,0.9959926476676216
FOXI1.rescaled,118.0,213.5,73.0,76.5,44.0,46.0,64.0,61.0,696.0,0.9957608173674012
HOMER2.rescaled,118.0,38.5,40.0,28.5,128.0,162.0,97.0,93.0,705.0,0.9956863004851876
DNAH2.rescaled,154.0,213.5,120.5,206.5,7.0,5.0,4.0,12.0,722.5,0.99554140654755
TDRD5.rescaled,362.5,270.5,73.0,102.5,16.0,11.0,13.0,13.0,861.5,0.994390534700028
KIF11.rescaled,197.0,164.0,120.5,206.5,59.0,59.0,52.0,57.0,915.0,0.993947573233536
MRAP.rescaled,264.0,130.0,86.0,64.0,68.0,175.0,89.0,76.0,952.0,0.993641226051102
CYFIP2.rescaled,37.5,130.0,152.0,371.0,67.0,86.0,60.0,79.0,982.5,0.9933886966169336
ISG15.rescaled,264.0,73.0,73.0,58.5,101.0,206.0,98.0,141.0,1014.5,0.993123747702396
AQP7.rescaled,362.5,73.0,73.0,206.5,103.0,58.0,79.0,99.0,1054.0,0.992796701386014
MKI67.rescaled,197.0,354.5,196.0,371.0,18.0,15.0,15.0,27.0,1193.5,0.9916416897117024
IFI6.rescaled,118.0,32.0,40.0,39.5,210.0,137.0,459.0,329.0,1364.5,0.9902258689496432
CAMK2B.rescaled,136.0,65.0,28.0,32.0,250.0,180.0,313.0,440.0,1444.0,0.9895676364900892
TACC3.rescaled,264.0,533.5,263.0,277.0,28.0,43.0,28.0,20.0,1456.5,0.989464140820348
NBPF3.rescaled,48.5,73.0,120.5,128.5,440.0,201.0,256.0,219.0,1486.5,0.9892157512129692
TPH1.rescaled,264.0,354.5,524.5,371.0,12.0,13.0,10.0,14.0,1563.0,0.9885823577141531
