	ALE Value
FAM83E.rescaled	3.4573645e-08
MFSD6L.rescaled	3.287526e-08
FOXJ1.rescaled	3.1176594e-08
ARHGAP40.rescaled	3.1057507e-08
UGT2B11.rescaled	2.9496132e-08
FOXI1.rescaled	2.9486351e-08
PDZK1.rescaled	2.718925e-08
SLC5A8.rescaled	2.7071131e-08
NTNG1.rescaled	2.5188827e-08
ATP6V0A4.rescaled	2.5133337e-08
DLX2.rescaled	2.4772827e-08
HOXC12.rescaled	2.4733309e-08
NBPF4.rescaled	2.4336792e-08
PRAME.rescaled	2.4041523e-08
HOXC11.rescaled	2.3763997e-08
PPP2R2C.rescaled	2.2784729e-08
MKX.rescaled	2.2295875e-08
CEACAM6.rescaled	2.1809122e-08
CYP4F8.rescaled	2.1673316e-08
WT1.rescaled	2.1621704e-08
SPTSSB.rescaled	2.1479615e-08
HOXC13.rescaled	2.1463698e-08
DNAH2.rescaled	2.1339032e-08
SP5.rescaled	2.0945127e-08
DLX1.rescaled	2.0639167e-08
NPY5R.rescaled	2.0300888e-08
NKAIN1.rescaled	2.0247294e-08
PER1.rescaled	2.0239138e-08
DIO1.rescaled	1.9984551e-08
CHRNB2.rescaled	1.9793962e-08
MYL7.rescaled	1.977582e-08
KAAG1.rescaled	1.9633752e-08
AQP5.rescaled	1.9538088e-08
PNPLA3.rescaled	1.9536806e-08
FOSB.rescaled	1.9535273e-08
CYP4Z1.rescaled	1.9489066e-08
SYT9.rescaled	1.9483185e-08
BEX1.rescaled	1.909457e-08
SCGB1D2.rescaled	1.896764e-08
CALML5.rescaled	1.8876676e-08
PCDHA12.rescaled	1.8785398e-08
SDR16C5.rescaled	1.854512e-08
CKMT1B.rescaled	1.845973e-08
CNTNAP2.rescaled	1.8282986e-08
CASP14.rescaled	1.8217621e-08
ZNF385B.rescaled	1.815864e-08
S100A7.rescaled	1.8156562e-08
SLC28A3.rescaled	1.8125203e-08
SOWAHA.rescaled	1.8062627e-08
UTS2R.rescaled	1.8054106e-08
CST9.rescaled	1.7798488e-08
CDC20B.rescaled	1.7644743e-08
GLYATL1.rescaled	1.7434717e-08
C1orf116.rescaled	1.7212205e-08
TNNT1.rescaled	1.7210308e-08
CYP4F12.rescaled	1.7148936e-08
NAT8L.rescaled	1.7136013e-08
RIMS4.rescaled	1.7128563e-08
DOK7.rescaled	1.7095116e-08
NPY1R.rescaled	1.7086242e-08
PGLYRP2.rescaled	1.6976825e-08
PRODH.rescaled	1.6971345e-08
CTNND2.rescaled	1.694817e-08
KCNC2.rescaled	1.6886354e-08
CKMT1A.rescaled	1.6745792e-08
SERPINA6.rescaled	1.6721794e-08
POF1B.rescaled	1.6693217e-08
MS4A15.rescaled	1.6620591e-08
CELF5.rescaled	1.653065e-08
C2orf72.rescaled	1.6526675e-08
ABCC11.rescaled	1.6495916e-08
HGD.rescaled	1.64748e-08
CLEC3A.rescaled	1.6451779e-08
PITX1.rescaled	1.6319316e-08
LPAR3.rescaled	1.628345e-08
C6orf141.rescaled	1.6253518e-08
KLHDC7A.rescaled	1.6238467e-08
GREB1L.rescaled	1.6214639e-08
SLC30A8.rescaled	1.6183119e-08
LRP2.rescaled	1.6168055e-08
MCCD1.rescaled	1.598166e-08
SCNN1G.rescaled	1.5920898e-08
ATRNL1.rescaled	1.5893033e-08
FAM189A1.rescaled	1.5821056e-08
TMEM190.rescaled	1.5800222e-08
SLC44A5.rescaled	1.5781074e-08
FOXA3.rescaled	1.564799e-08
C2CD4A.rescaled	1.560798e-08
DOCK3.rescaled	1.5536159e-08
PCK1.rescaled	1.5336616e-08
ADCY5.rescaled	1.524805e-08
BPIFB1.rescaled	1.5186515e-08
PVALB.rescaled	1.51846e-08
TFF1.rescaled	1.5139362e-08
CECR2.rescaled	1.5133551e-08
SLC5A1.rescaled	1.5110325e-08
XKR7.rescaled	1.5048645e-08
HOXB13.rescaled	1.501757e-08
IGFALS.rescaled	1.5003545e-08
TNNI3.rescaled	1.4964437e-08
TMC3.rescaled	1.49005395e-08
CHST8.rescaled	1.48629455e-08
MMP10.rescaled	1.476033e-08
PCDHA11.rescaled	1.47278705e-08
B3GALT5.rescaled	1.4715814e-08
TDRD5.rescaled	1.4702218e-08
RGS1.rescaled	1.4625917e-08
CX3CR1.rescaled	1.4625832e-08
SLC7A2.rescaled	1.4593162e-08
CCNO.rescaled	1.45881085e-08
TFAP2B.rescaled	1.4553768e-08
TDRD1.rescaled	1.4471079e-08
FAM86B2.rescaled	1.4452221e-08
BMPR1B.rescaled	1.443547e-08
KCNJ3.rescaled	1.4434589e-08
RNF183.rescaled	1.442251e-08
DCDC2.rescaled	1.435672e-08
TAT.rescaled	1.43248915e-08
TNFRSF17.rescaled	1.4314942e-08
PHGR1.rescaled	1.4261963e-08
SCGB2A2.rescaled	1.4260457e-08
LRRC10B.rescaled	1.42174175e-08
HOXC10.rescaled	1.4215979e-08
TMC5.rescaled	1.4100094e-08
SHROOM1.rescaled	1.4013738e-08
C19orf81.rescaled	1.4012174e-08
AP3B2.rescaled	1.3979763e-08
PIP5KL1.rescaled	1.3957768e-08
VSIG2.rescaled	1.39572345e-08
EMX1.rescaled	1.3943946e-08
PYDC1.rescaled	1.3889082e-08
COL2A1.rescaled	1.3868906e-08
IFI6.rescaled	1.3827515e-08
AGT.rescaled	1.3785268e-08
ATP6V1B1.rescaled	1.3780678e-08
MRAP.rescaled	1.3722204e-08
SLC9A2.rescaled	1.3682445e-08
RP1.rescaled	1.3682319e-08
SGPP2.rescaled	1.3681892e-08
SLC6A4.rescaled	1.3670301e-08
SORCS1.rescaled	1.3643607e-08
FUT3.rescaled	1.3636553e-08
DQX1.rescaled	1.3630635e-08
LRRC31.rescaled	1.3621214e-08
DLGAP3.rescaled	1.3611233e-08
GHRH.rescaled	1.3600256e-08
CST4.rescaled	1.3596787e-08
FAM3B.rescaled	1.3574062e-08
OBP2B.rescaled	1.3529343e-08
CIDEA.rescaled	1.3511131e-08
PRKAA2.rescaled	1.3510544e-08
HMGCS2.rescaled	1.350723e-08
TEKT1.rescaled	1.3502655e-08
CYP4F11.rescaled	1.3478335e-08
UPK3A.rescaled	1.3421734e-08
DISP2.rescaled	1.3371696e-08
BPIFB2.rescaled	1.3369767e-08
PTPRT.rescaled	1.3367472e-08
THEG.rescaled	1.3357332e-08
ATP1A4.rescaled	1.3305398e-08
C1orf158.rescaled	1.3281026e-08
EPYC.rescaled	1.3268213e-08
DHRS2.rescaled	1.3224781e-08
PCDHA4.rescaled	1.3177274e-08
CGREF1.rescaled	1.3157296e-08
SHISA9.rescaled	1.314574e-08
NR4A1.rescaled	1.3127521e-08
UNC5A.rescaled	1.3093978e-08
BEX2.rescaled	1.3048999e-08
GRIK3.rescaled	1.3008585e-08
VTCN1.rescaled	1.3007397e-08
IFI44L.rescaled	1.2995749e-08
CST1.rescaled	1.2979289e-08
CCL18.rescaled	1.2968648e-08
CYP4B1.rescaled	1.2961471e-08
NPW.rescaled	1.2958782e-08
KLK11.rescaled	1.295329e-08
SPDYC.rescaled	1.28834055e-08
NRCAM.rescaled	1.2864604e-08
AQP9.rescaled	1.2849514e-08
CA9.rescaled	1.28491475e-08
CCDC169.rescaled	1.2799563e-08
CST5.rescaled	1.27735005e-08
CXCL17.rescaled	1.2769192e-08
OBP2A.rescaled	1.276716e-08
MMP12.rescaled	1.2733882e-08
ETV4.rescaled	1.2732441e-08
MNX1.rescaled	1.272674e-08
RDH16.rescaled	1.2722815e-08
GRPR.rescaled	1.2692549e-08
PAX9.rescaled	1.2665636e-08
C19orf33.rescaled	1.2602682e-08
CHRM1.rescaled	1.25921416e-08
GRM4.rescaled	1.2591388e-08
WNK4.rescaled	1.25775115e-08
NBPF6.rescaled	1.2575462e-08
GAL3ST2.rescaled	1.25655655e-08
TRIM17.rescaled	1.2506485e-08
ABHD12B.rescaled	1.2491649e-08
STYK1.rescaled	1.2476355e-08
WFDC2.rescaled	1.2462598e-08
LRTM2.rescaled	1.2451239e-08
FGF10.rescaled	1.2444774e-08
AMZ1.rescaled	1.2429013e-08
RANBP3L.rescaled	1.2389055e-08
PON3.rescaled	1.232582e-08
CIDEC.rescaled	1.2283728e-08
SYT13.rescaled	1.2245223e-08
PPP1R1B.rescaled	1.222741e-08
ZNF676.rescaled	1.21984645e-08
GPR39.rescaled	1.2166084e-08
MUC6.rescaled	1.2153876e-08
MOGAT2.rescaled	1.2126194e-08
STC2.rescaled	1.20140795e-08
ADORA2A.rescaled	1.1991355e-08
C10orf82.rescaled	1.1979108e-08
C20orf85.rescaled	1.1965689e-08
STEAP4.rescaled	1.1946918e-08
LY6G6C.rescaled	1.191823e-08
R3HCC1.rescaled	1.1876202e-08
KIF1A.rescaled	1.1864488e-08
GPD1.rescaled	1.1855292e-08
AKAP14.rescaled	1.1844724e-08
SLC1A1.rescaled	1.1842394e-08
SOX11.rescaled	1.1807348e-08
TUBA3D.rescaled	1.1797878e-08
NXNL2.rescaled	1.177158e-08
MAT1A.rescaled	1.172313e-08
CEACAM5.rescaled	1.1708733e-08
GLRA3.rescaled	1.1660787e-08
GPR26.rescaled	1.1654185e-08
GRIA2.rescaled	1.15836345e-08
MYBPC1.rescaled	1.1573815e-08
ZNF729.rescaled	1.1546264e-08
NEU4.rescaled	1.1543568e-08
PLA2G10.rescaled	1.1523608e-08
CCL13.rescaled	1.1516973e-08
HOXB5.rescaled	1.1504776e-08
C1orf194.rescaled	1.1502289e-08
TTPA.rescaled	1.148958e-08
SLITRK6.rescaled	1.1477908e-08
RASSF10.rescaled	1.1472741e-08
HSPB8.rescaled	1.1468322e-08
TFF3.rescaled	1.1464814e-08
GDPD1.rescaled	1.145974e-08
SPACA4.rescaled	1.14514975e-08
DSC3.rescaled	1.1450453e-08
ANKRD18A.rescaled	1.1448849e-08
PNCK.rescaled	1.1442694e-08
TMPRSS3.rescaled	1.144175e-08
SLC7A4.rescaled	1.1440411e-08
TMPRSS6.rescaled	1.1415601e-08
MARCO.rescaled	1.1407522e-08
ABCA12.rescaled	1.1374793e-08
SLC7A10.rescaled	1.134166e-08
BRSK2.rescaled	1.1319792e-08
NAB2.rescaled	1.1317738e-08
SULT4A1.rescaled	1.1302311e-08
KISS1R.rescaled	1.128606e-08
SCGB2A1.rescaled	1.1284392e-08
ANKRD30A.rescaled	1.12674465e-08
SCN8A.rescaled	1.1253671e-08
DUSP4.rescaled	1.1223901e-08
LEP.rescaled	1.1212784e-08
NPFFR2.rescaled	1.11811165e-08
DLGAP1.rescaled	1.117018e-08
AMH.rescaled	1.1135701e-08
PDE8B.rescaled	1.1124443e-08
HPX.rescaled	1.1100317e-08
INSM1.rescaled	1.10931815e-08
BRAP.rescaled	1.1084112e-08
SPOCD1.rescaled	1.1073951e-08
