	LIME Importance
INSC.rescaled	-9.306528363548121e-05
DAZL.rescaled	-9.214127465597542e-05
OLAH.rescaled	-8.531942443039476e-05
LRRC3C.rescaled	-7.96304640989055e-05
MUC4.rescaled	-7.716142016183744e-05
SLC13A5.rescaled	-7.673660232743189e-05
RFX6.rescaled	-7.436404898792902e-05
HSF5.rescaled	-7.330286948481386e-05
MAEL.rescaled	-7.228703815122485e-05
CLDN10.rescaled	-7.174642187307428e-05
MDGA2.rescaled	-7.144153039537968e-05
ETV3L.rescaled	-7.002463295019339e-05
FCAMR.rescaled	-6.946039465302982e-05
ATOH7.rescaled	-6.68484729871784e-05
ADARB2.rescaled	-6.60212379727267e-05
SUN3.rescaled	-6.399483236214923e-05
LGI3.rescaled	-6.071180592376954e-05
CDH15.rescaled	-6.0050395172761304e-05
HS3ST4.rescaled	-5.9705748254303704e-05
AIRE.rescaled	-5.93221156180558e-05
AMTN.rescaled	-5.898431716256025e-05
GDNF.rescaled	-5.857800352438041e-05
PROK2.rescaled	-5.7983936281228705e-05
MC5R.rescaled	-5.79538633847707e-05
LMOD3.rescaled	-5.6591094619706914e-05
S100A7A.rescaled	-5.644794121253937e-05
PSG9.rescaled	-5.5584088860206785e-05
C1D.rescaled	-5.482787205094265e-05
CLEC2L.rescaled	-5.441138867516916e-05
ANKRD20A1.rescaled	-5.439724154447064e-05
HBD.rescaled	-5.4208003682632805e-05
ZBTB8B.rescaled	-5.4102978475193656e-05
CHRNA9.rescaled	-5.3821202045364494e-05
HAO2.rescaled	-5.300483644104803e-05
SLC7A11.rescaled	-5.2923063440371244e-05
COL6A5.rescaled	-5.282333378621894e-05
SYNPO2L.rescaled	-5.264781442836582e-05
PSMA8.rescaled	-5.23783683849795e-05
SLC9A4.rescaled	-5.192749935863106e-05
C17orf99.rescaled	-5.1550422121058146e-05
ANKRD34B.rescaled	-5.1203452043623505e-05
ISL1.rescaled	-5.1045917341737474e-05
CYP2C18.rescaled	-5.095575827725133e-05
KRT79.rescaled	-5.079986957985059e-05
HEMGN.rescaled	-4.953252637572662e-05
HPD.rescaled	-4.90858174066263e-05
UGT2B4.rescaled	-4.8109151253586224e-05
EDAR.rescaled	-4.7976857878487584e-05
GJB4.rescaled	-4.787595077032698e-05
TNR.rescaled	-4.766772172590475e-05
CCL15.rescaled	-4.7221268743168955e-05
RAF1.rescaled	-4.695188039164034e-05
RPL23.rescaled	-4.694759707937365e-05
STAU1.rescaled	-4.691024230068517e-05
ZNF716.rescaled	-4.6674601661568244e-05
BTNL8.rescaled	-4.666697340649943e-05
CSN1S1.rescaled	-4.623516582788394e-05
NOL4.rescaled	-4.6130193048213016e-05
GALNT9.rescaled	-4.55816947370078e-05
FAM163A.rescaled	-4.543959127347827e-05
CAMK1G.rescaled	-4.527624367204245e-05
VIL1.rescaled	-4.5199236729282185e-05
FN3KRP.rescaled	-4.507437562447971e-05
UBE2Z.rescaled	-4.502922785527917e-05
VRK2.rescaled	-4.492745111593777e-05
PHB.rescaled	-4.4535013097046864e-05
MOGAT1.rescaled	-4.437217137036099e-05
POU6F2.rescaled	-4.410478224927049e-05
VWA5B1.rescaled	-4.409232553639601e-05
NPHS1.rescaled	-4.403354205702293e-05
SLC1A6.rescaled	-4.395316550725309e-05
CFTR.rescaled	-4.3936238393743454e-05
MTNR1A.rescaled	-4.379053302993871e-05
SLC6A2.rescaled	-4.354529339307531e-05
TBC1D26.rescaled	-4.3207692046240424e-05
CA6.rescaled	-4.270268542947363e-05
ACTR5.rescaled	-4.260762524042835e-05
KAT7.rescaled	-4.256666907707e-05
IPO8.rescaled	-4.2557772798595955e-05
CABP7.rescaled	-4.2524509215136496e-05
SLC4A1.rescaled	-4.248481951707253e-05
AATF.rescaled	-4.238840321322167e-05
SLC4A10.rescaled	-4.23661360774815e-05
USH1G.rescaled	-4.228642848174735e-05
FOXL2.rescaled	-4.220205586776316e-05
ZG16.rescaled	-4.20870031644119e-05
FOXN4.rescaled	-4.182684557805607e-05
CYP2A13.rescaled	-4.165917655519563e-05
ZFP42.rescaled	-4.126964693147322e-05
POTEM.rescaled	-4.1107870598570555e-05
AQP6.rescaled	-4.093050504255659e-05
SPATS1.rescaled	-4.091816705466948e-05
KLHL10.rescaled	-4.086160474963386e-05
CWC25.rescaled	-4.0684051981259e-05
CDH4.rescaled	-4.059789555670767e-05
CCDC168.rescaled	-4.033602069127707e-05
FAM205A.rescaled	-4.032121772263718e-05
CEACAM8.rescaled	-4.027977045242799e-05
AICDA.rescaled	-4.005582170557182e-05
CSTL1.rescaled	-3.983844572461543e-05
TSPEAR.rescaled	-3.960680893587795e-05
KCP.rescaled	-3.954407160025648e-05
EYA1.rescaled	-3.953987197646269e-05
SPATA22.rescaled	-3.948640616657422e-05
LSM5.rescaled	-3.88273516186615e-05
PCDHB1.rescaled	-3.857572961468548e-05
KLHL33.rescaled	-3.855206918813842e-05
SCRT1.rescaled	-3.8419457227792736e-05
CALCOCO2.rescaled	-3.817312315227604e-05
BMP3.rescaled	-3.7926457481696394e-05
SMARCE1.rescaled	-3.788691678171598e-05
LGR5.rescaled	-3.7864677509785316e-05
FCRL4.rescaled	-3.753113077341744e-05
ATP2B2.rescaled	-3.7487185869844515e-05
TRIM55.rescaled	-3.7429444927240636e-05
PGLYRP1.rescaled	-3.723958260650343e-05
CLDN2.rescaled	-3.721603139177557e-05
MIP.rescaled	-3.688648401789e-05
SLC5A7.rescaled	-3.668396298834857e-05
EPHA4.rescaled	-3.654823116194895e-05
LPO.rescaled	-3.6195410589964455e-05
HTR6.rescaled	-3.605404635624047e-05
USH1C.rescaled	-3.592244135370899e-05
HYAL4.rescaled	-3.589295960768501e-05
RNF26.rescaled	3.5854418826663095e-05
RBM20.rescaled	-3.5612152406507937e-05
GALNT8.rescaled	-3.54745501919553e-05
SLCO1A2.rescaled	-3.544787805685682e-05
GDF9.rescaled	-3.539234185835391e-05
SLC4A9.rescaled	-3.5386828457627535e-05
SLC36A2.rescaled	-3.518934953697605e-05
AHSP.rescaled	-3.515923995224449e-05
PRL.rescaled	-3.500282843557296e-05
SLC4A1AP.rescaled	-3.499768563613275e-05
RIC8A.rescaled	3.499741332619545e-05
TTC19.rescaled	3.496621955649695e-05
ASB11.rescaled	-3.490183218413489e-05
SETDB1.rescaled	-3.488805887341577e-05
TACR3.rescaled	-3.485288473952579e-05
TMEM151B.rescaled	-3.449491521469572e-05
HSFX1.rescaled	-3.444495372123533e-05
APC2.rescaled	-3.4351743191719534e-05
SAG.rescaled	-3.422465627566924e-05
BRDT.rescaled	-3.421028352125437e-05
STRAP.rescaled	-3.399591395092426e-05
ODAM.rescaled	-3.3790227635946314e-05
CAPN14.rescaled	-3.371460992963721e-05
LSM3.rescaled	-3.368498970515368e-05
PELI3.rescaled	-3.352675458464245e-05
SLC26A9.rescaled	-3.3366298752303155e-05
EIF4E1B.rescaled	-3.3330645710476774e-05
SH2D1B.rescaled	-3.299403577055629e-05
LANCL2.rescaled	-3.291580605913973e-05
IP6K3.rescaled	-3.285122130179569e-05
SERPIND1.rescaled	-3.2606217745386804e-05
CREB3L3.rescaled	-3.258572434208294e-05
KCNJ1.rescaled	-3.2476690335386056e-05
IL19.rescaled	-3.239584533424924e-05
NRSN1.rescaled	-3.2249859319951794e-05
TLX2.rescaled	-3.211329620339345e-05
UBE2Q2.rescaled	3.209290530983616e-05
PPBP.rescaled	-3.205127865452877e-05
PDE6D.rescaled	3.2009667528898725e-05
CLEC18A.rescaled	-3.195303114088446e-05
EPHA6.rescaled	-3.1952093419427435e-05
GSTA3.rescaled	-3.1877985211824584e-05
CANX.rescaled	-3.176965323829354e-05
LRRC3B.rescaled	-3.170593991052496e-05
SEC13.rescaled	-3.160652075993058e-05
INA.rescaled	-3.160162549604199e-05
TMEM82.rescaled	-3.1513239564365214e-05
MEP1A.rescaled	-3.150128440135174e-05
AGXT.rescaled	-3.143655987197285e-05
CDH18.rescaled	-3.139542361119806e-05
TCERG1L.rescaled	-3.138775306431634e-05
CCDC144NL.rescaled	-3.1163033868916575e-05
BET1L.rescaled	3.1154917802139864e-05
HTT.rescaled	-3.112869140226167e-05
GPR6.rescaled	-3.094002714712905e-05
DTD1.rescaled	3.052403771745756e-05
GOLGA3.rescaled	3.0516455669872803e-05
CALM1.rescaled	3.0291414055441926e-05
C1orf158.rescaled	-3.0093665448241915e-05
PRPF31.rescaled	-2.999391239251478e-05
ELMOD1.rescaled	-2.9955066388537182e-05
C1QL4.rescaled	-2.988580375101831e-05
KCNH4.rescaled	-2.9769490827064562e-05
TSC1.rescaled	-2.974032840184748e-05
ARNT.rescaled	-2.972171629862334e-05
SEC14L6.rescaled	-2.9714921439045515e-05
DZIP3.rescaled	-2.9710204241233496e-05
SULT1E1.rescaled	-2.9629202760072418e-05
ART1.rescaled	-2.9583952525579917e-05
MCM3AP.rescaled	-2.9577824266486278e-05
WNT10A.rescaled	-2.9519546676141384e-05
IGLL1.rescaled	-2.9420709937751117e-05
DCHS2.rescaled	-2.9417431797280728e-05
DDX47.rescaled	-2.932736331184594e-05
RFPL2.rescaled	-2.9258605360779957e-05
DDX1.rescaled	-2.909122017098126e-05
KIR2DL3.rescaled	-2.902688959003582e-05
SCEL.rescaled	-2.898634600019159e-05
PRMT8.rescaled	-2.897348680819871e-05
HGFAC.rescaled	-2.8888044448280917e-05
C6orf223.rescaled	-2.8820102258946233e-05
SLC22A10.rescaled	-2.871433872591004e-05
ASXL3.rescaled	-2.869174620842302e-05
C5orf58.rescaled	-2.8689725525748565e-05
PDIA2.rescaled	-2.8684148258757835e-05
SLC10A4.rescaled	-2.8662528695699695e-05
WNT3A.rescaled	-2.854313579832973e-05
STRC.rescaled	-2.840383231415152e-05
SLC3A1.rescaled	-2.8327042474050276e-05
CLDN16.rescaled	-2.831814664757693e-05
POU5F1B.rescaled	-2.8306090641849156e-05
SP9.rescaled	-2.829524295574186e-05
PSMB3.rescaled	-2.828495539636213e-05
NLRP7.rescaled	-2.817419860984655e-05
NOS1.rescaled	-2.8173842962194946e-05
TMEM132E.rescaled	-2.8147233731245902e-05
GPM6A.rescaled	-2.8102274017961777e-05
ENDOU.rescaled	-2.8099435140140764e-05
NIPBL.rescaled	2.8077394383626463e-05
SUMO4.rescaled	-2.8039934397868186e-05
C14orf39.rescaled	-2.8031871019928712e-05
ASAH2.rescaled	-2.7969856076471677e-05
TSSC4.rescaled	2.788746358622216e-05
FBXO7.rescaled	2.7832049404398582e-05
FOLR3.rescaled	-2.77553580761475e-05
ARMS2.rescaled	-2.7738602482514996e-05
TPM4.rescaled	2.7663883943219896e-05
CLEC4D.rescaled	-2.7460181671139966e-05
ZNF488.rescaled	-2.7395702497070363e-05
RPL19.rescaled	-2.7388732688753242e-05
CYP3A4.rescaled	-2.7270407200969854e-05
ALDOB.rescaled	-2.7214854685735407e-05
ATG5.rescaled	-2.71720859180428e-05
SAT2.rescaled	2.7126532473106823e-05
TCHH.rescaled	-2.7123194098704575e-05
SFN.rescaled	2.7036445298592975e-05
SLC26A2.rescaled	-2.6968562963344277e-05
MED27.rescaled	-2.693834383710754e-05
WFIKKN2.rescaled	-2.693065325825637e-05
NUP188.rescaled	-2.681773679810068e-05
TRPC4.rescaled	-2.6772333807746192e-05
ANKRD18B.rescaled	-2.6759668142796185e-05
LIPK.rescaled	-2.6667965675970155e-05
CACNG8.rescaled	-2.666380058745949e-05
KRT4.rescaled	-2.661506779991685e-05
LRRC7.rescaled	-2.657995424005805e-05
RPLP2.rescaled	-2.646471799979654e-05
GPR34.rescaled	2.643253985253436e-05
CNGB1.rescaled	-2.6391844242069708e-05
PLAC4.rescaled	-2.629069573405321e-05
P2RY4.rescaled	-2.624726813836802e-05
ALAS2.rescaled	-2.617516538985627e-05
METTL6.rescaled	-2.6073940217543283e-05
PSG4.rescaled	-2.6049900164551515e-05
SLCO2B1.rescaled	2.6034923559714045e-05
RCN1.rescaled	2.597799390642634e-05
GOLGB1.rescaled	2.58526488006951e-05
KCNT2.rescaled	-2.5771113248453026e-05
STXBP5L.rescaled	-2.573377005806799e-05
KLF17.rescaled	-2.5655032404455778e-05
RWDD2B.rescaled	2.5629944850696667e-05
TRPM8.rescaled	-2.5623135600915833e-05
SLC9A3.rescaled	-2.5596214940287875e-05
DUSP23.rescaled	2.555447725934338e-05
BRK1.rescaled	-2.5553223268307834e-05
MRPL51.rescaled	-2.552327032044838e-05
ATP1B3.rescaled	-2.5411872860933168e-05
TRPA1.rescaled	-2.5371862334612078e-05
COIL.rescaled	-2.5337157326379028e-05
KLHL1.rescaled	-2.5145789758405097e-05
RD3.rescaled	-2.513587120842062e-05
LIX1.rescaled	-2.5044640548498597e-05
KCNB2.rescaled	-2.498482173768312e-05
CBWD2.rescaled	2.4956449670788977e-05
FBXO44.rescaled	2.48909846370192e-05
CCT4.rescaled	-2.486301396635717e-05
DHX57.rescaled	-2.4717045468482336e-05
PCDH10.rescaled	-2.466226919820773e-05
MCHR2.rescaled	-2.4618117381133412e-05
UFM1.rescaled	-2.457839346419252e-05
MAPRE3.rescaled	2.45385678329754e-05
TRIM72.rescaled	-2.4485590855070823e-05
OCA2.rescaled	-2.4476093932737474e-05
UCK1.rescaled	-2.44319934990496e-05
PRKCI.rescaled	-2.4399872445535556e-05
LBX2.rescaled	-2.437073477310784e-05
FRG1.rescaled	-2.43490750923636e-05
PRDM2.rescaled	2.4253982114737693e-05
SLIT1.rescaled	-2.4212056297222534e-05
FRMD7.rescaled	-2.4209710907452275e-05
ALOX12B.rescaled	-2.4102198521028796e-05
HHIP.rescaled	-2.405697666296018e-05
FUT5.rescaled	-2.4052106885123107e-05
