	SHAP Value
ICOS.rescaled	0.0009095388423241307
ANKRD30A.rescaled	-0.0009085655665982729
CD80.rescaled	0.0008937641964437483
SLC7A4.rescaled	-0.0008863285904051436
NXNL2.rescaled	-0.0008711617757086815
PTPRT.rescaled	-0.0008628217444060562
PGR.rescaled	-0.0008605107344414573
SERPINA11.rescaled	-0.0008578723054858015
SLC44A4.rescaled	-0.000857682074931012
CASP5.rescaled	0.0008567370267293659
PHGR1.rescaled	-0.0008459323744956882
ZBED2.rescaled	0.0008349545787061923
CCR8.rescaled	0.0008178807913257641
ESR1.rescaled	-0.0008153590967352898
ABCC8.rescaled	-0.0008085064624137649
KLHDC7A.rescaled	-0.0008073640200001373
GBP5.rescaled	0.0007986002819575593
CLEC6A.rescaled	0.0007982182508298521
CELSR1.rescaled	-0.0007932935794451354
THSD4.rescaled	-0.0007924705685716698
XBP1.rescaled	-0.0007882148401444797
WDR31.rescaled	-0.0007881717904183759
GBP1.rescaled	0.000783803194186561
FOXA1.rescaled	-0.0007807145081245412
MMP1.rescaled	0.0007791973720721435
LAG3.rescaled	0.000777466810722651
DEGS2.rescaled	-0.0007770842367054784
APOBEC3H.rescaled	0.0007747737158776695
MAPT.rescaled	-0.0007738808247577098
FCGR3A.rescaled	0.0007729814222165887
KCNJ10.rescaled	0.0007724328787313389
IL12RB1.rescaled	0.0007702637274824982
IL4I1.rescaled	0.0007698535855227128
AGR3.rescaled	-0.0007672103279934036
GPR31.rescaled	0.0007649827688427809
FLVCR2.rescaled	0.0007641783365345239
SYT9.rescaled	-0.0007638311529195381
STAT1.rescaled	0.0007608650343905793
CD38.rescaled	0.0007607837625461427
CXCL11.rescaled	0.0007607095234312813
ANXA9.rescaled	-0.0007596746324158213
FPR2.rescaled	0.0007591651380254227
PRAME.rescaled	0.0007586440406023097
IFI44L.rescaled	0.0007533491220194659
IL27.rescaled	0.0007528093221551953
ADAMDEC1.rescaled	0.0007519063957599707
OASL.rescaled	0.0007507426913306736
TIGIT.rescaled	0.0007497677481912397
IFI44.rescaled	0.000748247703412286
SCUBE2.rescaled	-0.0007481551717294611
CAPN8.rescaled	-0.0007475053519011583
FOXP3.rescaled	0.000741943125699774
CT62.rescaled	-0.0007405164491214711
LYPD6.rescaled	-0.0007401475362939071
TFAP2B.rescaled	-0.0007400564074072422
CLSTN2.rescaled	-0.0007373085152312564
TFEC.rescaled	0.0007371328505007142
NEK10.rescaled	-0.0007361920692242397
SUSD3.rescaled	-0.0007359733990236234
ZBP1.rescaled	0.0007321953909469578
RUNDC1.rescaled	-0.0007304046721306773
RAB6C.rescaled	-0.0007298892102034684
PPP1R14C.rescaled	0.0007297843307480115
MKRN3.rescaled	0.0007178898620695248
C4A.rescaled	-0.0007175317213273115
MX1.rescaled	0.0007170615532686732
TBX21.rescaled	0.00071545671582315
ADAMTS15.rescaled	-0.0007135597146039434
LAMP3.rescaled	0.0007130108048928386
CD86.rescaled	0.0007111910945283426
TMC5.rescaled	-0.0007101954076608181
IFNG.rescaled	0.0007078932759101628
PDCD1.rescaled	0.0007074796848095234
MLPH.rescaled	-0.000704958549159168
GZMB.rescaled	0.0007027507768107255
WNK4.rescaled	-0.0007020632722122827
ST8SIA6.rescaled	-0.0007014520149034502
ITGB7.rescaled	0.0007001006959437079
CLEC12A.rescaled	0.0006998386080292757
DLX2.rescaled	-0.0006983425652576351
RSAD2.rescaled	0.0006980871221718856
GREB1L.rescaled	-0.0006979639049891967
TAGAP.rescaled	0.0006976128083360611
SIGLEC1.rescaled	0.0006963588442141555
KCNJ11.rescaled	-0.0006952919729395005
RASSF4.rescaled	0.000693821488759738
AFF3.rescaled	-0.0006932040377188664
GPR84.rescaled	0.0006931943386715702
AQP9.rescaled	0.0006916074066940146
CXCL10.rescaled	0.00068934180508178
CCR5.rescaled	0.0006879129457579808
BATF2.rescaled	0.0006872420103862194
CMPK2.rescaled	0.0006871475188817445
ANKRD30B.rescaled	-0.000684810167681365
EPSTI1.rescaled	0.0006848062235907805
SNX20.rescaled	0.0006815076892656408
FASLG.rescaled	0.0006776317068864865
PHYHD1.rescaled	-0.0006770717871850205
FAM161B.rescaled	-0.0006769000307064859
APOBEC3A.rescaled	0.0006756552097007055
SCNN1A.rescaled	-0.0006747525744034515
FUT7.rescaled	0.0006704756770262743
PTPRO.rescaled	0.000669803843350395
SLC7A2.rescaled	-0.0006694068592223903
JAKMIP1.rescaled	0.0006680336983139265
CCL8.rescaled	0.0006670259437734294
MYB.rescaled	-0.000666587235330824
CARD10.rescaled	-0.000665652145660538
GRPR.rescaled	-0.0006655536599369796
MYO1G.rescaled	0.0006629409083689429
LONRF2.rescaled	-0.0006622954425785733
CCL7.rescaled	0.0006620778152079142
CD300LF.rescaled	0.0006610433533723076
VWA2.rescaled	-0.0006602617354047882
PDCD1LG2.rescaled	0.0006596397305080014
CLEC4D.rescaled	0.0006595196526623501
