	feature_importance
STH.rescaled	0.3386732839776355
SYCE1.rescaled	-0.257939181262208
SPESP1.rescaled	-0.23856345461475126
DLGAP1.rescaled	-0.21791469095721197
ERAP2.rescaled	-0.21669699933642125
ZFP57.rescaled	-0.20032608660564094
FAM86B2.rescaled	-0.1977590513265897
SLC6A4.rescaled	-0.18448438726624514
NLRP5.rescaled	-0.18241760989850525
DNAH12.rescaled	0.17797914705772805
GYPE.rescaled	-0.17505975862672266
CST1.rescaled	0.1645760145398039
QRFP.rescaled	0.16283142370757156
GPR31.rescaled	0.16210789997992273
ADRB1.rescaled	0.16158690791413846
OR13J1.rescaled	0.1609321398552648
OTOR.rescaled	-0.16034380659410266
TAS2R3.rescaled	0.1594507518548862
TNNT1.rescaled	-0.1543161390345595
LDHC.rescaled	-0.1526434545949254
ROBO2.rescaled	0.15068651453592616
OR7D2.rescaled	0.1492455158735485
WBP2NL.rescaled	0.14810095510228338
KCNE4.rescaled	-0.1480922982055644
DQX1.rescaled	0.14768536894574705
DEFB124.rescaled	-0.14757727565345247
GNRH2.rescaled	0.14746464921502625
CYP4F11.rescaled	-0.14632591521668264
C10orf82.rescaled	0.14489277148591756
CCDC68.rescaled	-0.14483109282684906
ANO3.rescaled	0.14420333801933444
MYCBPAP.rescaled	0.1434285251128704
PCDHA13.rescaled	-0.1432808487646435
ATP6V0D2.rescaled	0.14285766272786896
TAT.rescaled	-0.1427565027220053
MAGEA1.rescaled	0.14194715075785835
GAD1.rescaled	-0.14097284452419437
HS3ST6.rescaled	0.14013390360688568
XKR9.rescaled	-0.139864040731106
CCZ1B.rescaled	0.13973562128460634
HOXC11.rescaled	0.13920475488965878
EIF3CL.rescaled	-0.13760048901156144
C17orf50.rescaled	0.1363085388673012
ARHGAP36.rescaled	-0.1361009228811707
CACNA1B.rescaled	0.13600237449044122
PPP1R42.rescaled	-0.13569489121182562
MTRNR2L3.rescaled	0.13545204433619748
UTS2R.rescaled	-0.1351976145353797
LRP2.rescaled	-0.13514069754514266
PNCK.rescaled	-0.1343717826915861
DNAJC5G.rescaled	0.1343111759246113
GNG8.rescaled	-0.13417739918328936
TBX1.rescaled	0.13410175207418706
CPO.rescaled	0.13396373033239845
ACOT6.rescaled	-0.13386785283677236
G6PC2.rescaled	0.13382656813311977
TP53TG5.rescaled	-0.13352803312813782
CYP4B1.rescaled	-0.13323795074825476
HSFX2.rescaled	0.13304987743834096
FSCN3.rescaled	0.13266849338831224
CBWD3.rescaled	-0.1322894848799339
PM20D1.rescaled	-0.13145107722606483
CYP4F22.rescaled	0.13138535146162375
KCNJ3.rescaled	0.13108749781216117
PTCHD3.rescaled	0.13049957848470076
CYP2A7.rescaled	-0.12972151703597307
CYP19A1.rescaled	0.129356820245825
TSSK4.rescaled	-0.12877448014153164
NFE2.rescaled	0.12814634180640957
L1TD1.rescaled	-0.12747637632218714
GHRH.rescaled	-0.12656162205408827
GRB14.rescaled	0.12652054234771104
SMC1B.rescaled	0.12567431073152893
IGFL1.rescaled	-0.12541084650921638
VN1R1.rescaled	0.1242635994530849
GTF2H2.rescaled	0.12387149136845997
DNAJB7.rescaled	-0.12308410802025627
RXFP4.rescaled	-0.12258419490040846
ZPBP.rescaled	0.1220344789246107
ANP32C.rescaled	-0.12202044662484238
IGDCC3.rescaled	-0.1215728730506683
FREM2.rescaled	0.12032162580438682
SLC35A3.rescaled	-0.1202558827339242
TM4SF1.rescaled	-0.11964600787621187
TIGD4.rescaled	-0.11939175692476507
HOXC13.rescaled	0.11896696730862384
UCP1.rescaled	-0.11863703861287013
KLHL32.rescaled	0.11861726229092161
ATP1A4.rescaled	-0.11857609461899576
GRIA2.rescaled	-0.11730111767899924
PRPH2.rescaled	-0.11701943445582325
CXCR1.rescaled	0.11698359043920697
OR52W1.rescaled	0.11692531535746062
GSTA3.rescaled	0.11668713695959615
APOL4.rescaled	-0.11663070986513496
RIBC2.rescaled	0.11623952109414373
CYP2A6.rescaled	-0.11594849090184361
DDX43.rescaled	-0.11593201693970688
TCP10L.rescaled	0.11581043118181601
TTLL9.rescaled	-0.11580001722838115
LINGO1.rescaled	-0.1148714678160146
NOXRED1.rescaled	-0.11470865052106019
FIG4.rescaled	-0.11436870900829832
S100P.rescaled	0.11433860969515401
AADAC.rescaled	0.11412499011247296
FGG.rescaled	0.11337325924033177
ALDOA.rescaled	-0.11303704323603651
MYH13.rescaled	-0.11267528729298654
FAM209B.rescaled	-0.11252483069284834
CHRNA1.rescaled	0.1123489258891099
MUC15.rescaled	0.11209639198206693
CC2D2B.rescaled	-0.11202326652276727
LRRC31.rescaled	-0.11193632126529353
SERPINA11.rescaled	-0.11191269677662519
GBA3.rescaled	-0.1116526692506373
ADAMTS8.rescaled	-0.1114399424322806
HTR4.rescaled	-0.11114596981883992
PPP4R4.rescaled	-0.11109095239053049
MAN1B1.rescaled	-0.11105519466776348
GRIK1.rescaled	-0.11100399857763175
SPINK1.rescaled	-0.11082199937894359
RGPD5.rescaled	0.11081579260790093
CEACAM5.rescaled	0.11022046370766415
KCNE1.rescaled	0.10973461176855423
GPR6.rescaled	-0.1094647940017863
ATP13A2.rescaled	-0.10938055890364262
CR2.rescaled	0.10916739457910116
SPATS1.rescaled	0.1089373210068931
ZNF717.rescaled	0.10878802330536237
ABO.rescaled	0.10861994460506486
DCD.rescaled	0.108217549282165
B4GALNT2.rescaled	0.10803989991181379
SYT1.rescaled	0.10740632980845533
SIGLEC5.rescaled	0.1073696395800939
ZIM2.rescaled	0.10705879601449128
TMEM212.rescaled	0.10654914166021794
GRIA4.rescaled	-0.10650953084296598
PPP1R1A.rescaled	0.10609537679488625
PITPNM3.rescaled	0.10604121413525228
FAM167A.rescaled	-0.10562300460106196
IL17RE.rescaled	0.10538482336958219
FAM156A.rescaled	0.1053604029254081
COL6A5.rescaled	-0.10529211736832758
RNASE3.rescaled	-0.10513798654775042
GRIK3.rescaled	-0.10505040642651199
CA2.rescaled	0.1048152786962013
TEKT2.rescaled	0.10474949206234788
C6orf163.rescaled	-0.10470348669527758
LACRT.rescaled	0.10434847742071983
C6.rescaled	0.10434210171912846
HS3ST5.rescaled	-0.10432399073877917
RMND1.rescaled	-0.10430673758137503
FGF2.rescaled	-0.10422545365132252
HOXC12.rescaled	0.10417050907192794
RPRML.rescaled	0.10387630118672428
GPR26.rescaled	-0.10375206575293366
JAKMIP3.rescaled	-0.1036937513030456
ARSH.rescaled	-0.10320071632933552
ARL11.rescaled	-0.10319260158626213
TLX2.rescaled	0.10309696995837873
PCDHA4.rescaled	-0.10307483200598784
TFF2.rescaled	0.10307308553245911
ANKRD45.rescaled	-0.10285751335109253
ACOX3.rescaled	-0.10281762840773838
GRM4.rescaled	-0.10273158947861241
NDST3.rescaled	-0.10250780085413773
DGAT1.rescaled	0.10244523461572085
IQCA1.rescaled	0.10237525968130876
C15orf48.rescaled	-0.10220008218751994
GUCY2D.rescaled	0.10219058192599893
SPACA4.rescaled	-0.10206464550250273
PALM3.rescaled	0.10169355000355174
NTNG1.rescaled	0.10164635236369308
PRG4.rescaled	0.10157667663612628
RNASEH2A.rescaled	0.10131929019551936
TAS2R46.rescaled	0.10116320681725971
DNAH9.rescaled	0.10114221886220494
FAM71F2.rescaled	0.10112363475443117
S100A12.rescaled	-0.1009471685385405
IGFL4.rescaled	0.10080561782817739
TXNRD2.rescaled	-0.10071096687758316
HBD.rescaled	0.10065598838043656
MYO3B.rescaled	-0.100569057917164
CENPI.rescaled	0.1003448113328142
OR7C1.rescaled	0.10030962453499156
SERPINB10.rescaled	-0.10028310565743474
CYTL1.rescaled	-0.10028066670550322
ANKAR.rescaled	-0.10027447249377701
PPIAL4G.rescaled	0.10012701878433165
DNAJB12.rescaled	-0.09970104427901288
FAM124B.rescaled	-0.09962558788325147
PLA2G3.rescaled	-0.09959849363627579
SLITRK6.rescaled	-0.09959420463505754
RNF148.rescaled	-0.09915718306948047
TSNAXIP1.rescaled	0.09911546704290754
MUC5B.rescaled	0.09904616714045814
LEAP2.rescaled	-0.0990011610958675
CKMT1B.rescaled	-0.09899943913861053
SGPP1.rescaled	-0.09896005277106076
PPY.rescaled	0.09879505773968089
UGT2B17.rescaled	-0.09864176274957949
TMC5.rescaled	-0.09851269970549355
ODF4.rescaled	0.09846667833831522
FAM83B.rescaled	0.0984125830419304
TRAPPC9.rescaled	0.0982045124778306
CTNND2.rescaled	-0.09819093271996908
SPOCD1.rescaled	0.09817419131973751
CFHR1.rescaled	-0.09816703526394915
MADCAM1.rescaled	0.09816165149706668
RFXAP.rescaled	-0.09809468853470793
DUSP9.rescaled	0.09782975403398278
TFDP3.rescaled	0.09769825267499238
UMODL1.rescaled	0.09765416680016384
STMN1.rescaled	0.09754660693516826
GALNT3.rescaled	-0.09754208372606374
OBP2A.rescaled	0.09745519222829635
FAM71F1.rescaled	0.09744079022358947
C1QTNF9B.rescaled	-0.0973380313923329
TMEM26.rescaled	-0.09723210486378894
SLC24A5.rescaled	-0.09708025055341786
CES3.rescaled	0.09695100669003176
MITF.rescaled	0.09688399458906886
CNGA3.rescaled	-0.09668970490444476
COL23A1.rescaled	-0.09660374446816523
ZNF132.rescaled	0.09655766025784644
TONSL.rescaled	0.09654976878883387
PCDHGA2.rescaled	0.09654517683497937
KLHDC7A.rescaled	-0.0963488719690616
C1orf112.rescaled	0.09632404562178645
ESYT3.rescaled	0.09629596646990717
PGAM2.rescaled	0.09621659276847906
RIPK2.rescaled	0.09619466552081427
SFRP5.rescaled	-0.0961774204940487
ITGA2B.rescaled	0.09612158693933756
TNFSF18.rescaled	-0.09597740095776397
TAS2R31.rescaled	-0.09592662203309389
FAM72A.rescaled	0.09587108790157788
MS4A15.rescaled	0.09579759330010643
ZC3H3.rescaled	0.09563913752316763
EPHX1.rescaled	0.09553800969824283
CST9.rescaled	-0.09548272332596752
QDPR.rescaled	-0.09521509328804421
PMPCB.rescaled	-0.09520400770869454
ASCL2.rescaled	0.09504610198551439
FCER2.rescaled	0.09502382742588168
VPREB3.rescaled	0.09500363057107736
SDS.rescaled	0.09498759410942811
SLC38A3.rescaled	0.09495014870220081
TMEM63C.rescaled	-0.09478564903262666
GAL3ST2.rescaled	0.09466427168600494
BEND6.rescaled	-0.09431384647593143
C11orf42.rescaled	-0.09425336252880831
S100A7.rescaled	0.09425198501851523
WNT5A.rescaled	-0.09417298024863538
C1orf116.rescaled	0.09416808051817319
BDNF.rescaled	0.09408345790541377
RDM1.rescaled	0.09377885262985691
TMEM31.rescaled	0.09377752588075032
FAR2.rescaled	-0.09361083115462764
CASQ1.rescaled	-0.09360937708565899
LUZP2.rescaled	-0.09330871391032187
HSPB9.rescaled	0.09318443484634253
APOL5.rescaled	-0.09309981436570111
GPRC5D.rescaled	0.09304474512226041
RANBP3L.rescaled	-0.09281108708480827
NKAIN4.rescaled	-0.0927810032995337
MYBL2.rescaled	0.09277952527969639
GABRR2.rescaled	-0.09269446696435234
CASP6.rescaled	-0.09225727681278312
NAT8L.rescaled	-0.09198610686145989
GRPR.rescaled	-0.09196601938920175
DPM3.rescaled	-0.09178806503085643
FOXD4.rescaled	0.09178665650152588
LFNG.rescaled	0.0916436871150134
NPFFR2.rescaled	-0.09117416996787138
HYAL3.rescaled	0.09096482713713545
TMEM40.rescaled	0.09070343408559324
RET.rescaled	0.09068521001080103
ARHGEF38.rescaled	-0.09067877779274192
EIF3J.rescaled	-0.09047695545975487
RAB40AL.rescaled	-0.08971324614065733
SLIT1.rescaled	0.0896464404678261
ERP27.rescaled	-0.08959426667925537
TSPEAR.rescaled	0.08956219942498636
OBP2B.rescaled	0.0895403586272887
USP50.rescaled	-0.08950414326065194
PLEKHG4B.rescaled	0.08949970202147861
TTLL12.rescaled	-0.089467589922438
VSIG8.rescaled	-0.08928273953322965
C12orf50.rescaled	0.08916720226170947
TIMMDC1.rescaled	0.08909657265127659
LMO3.rescaled	0.08902228523786594
PRLH.rescaled	0.0890203972316015
DDIT4.rescaled	-0.08895834553726394
KREMEN2.rescaled	0.08884357137773373
SYT3.rescaled	0.0888084728338159
ZNF488.rescaled	0.08876896591696411
MUC13.rescaled	-0.08871614781866224
SPNS3.rescaled	-0.08871338627462831
SLC7A3.rescaled	-0.08865760287272773
CLVS1.rescaled	0.0886419914794012
CCNO.rescaled	-0.08864031485097755
CALN1.rescaled	0.08855273639949285
GJB1.rescaled	-0.0885486196765758
CAMK2B.rescaled	0.0884600702153758
LCNL1.rescaled	-0.08842988852562852
STK31.rescaled	0.08838809097686239
TEX11.rescaled	-0.08830571863240799
RGL3.rescaled	0.08828718790599568
SUMO4.rescaled	0.08823434983951406
GOLGA6L1.rescaled	-0.08820811267865465
SLC2A13.rescaled	-0.08818491469033878
NME9.rescaled	0.08816660747902187
CCL11.rescaled	-0.08813441771325124
