	ALE Value
SYT1.rescaled	1.3782188e-08
PRAME.rescaled	1.0469966e-08
SLITRK6.rescaled	9.2242e-09
CKMT1B.rescaled	9.041875e-09
TMEM215.rescaled	8.744585e-09
CKMT1A.rescaled	8.6811704e-09
KLK6.rescaled	8.651562e-09
S100A7.rescaled	8.487091e-09
TACC3.rescaled	8.291332e-09
MKI67.rescaled	8.236722e-09
SOWAHA.rescaled	8.176154e-09
UPK3A.rescaled	8.115044e-09
HOXC13.rescaled	8.040647e-09
TROAP.rescaled	7.985952e-09
THEG.rescaled	7.879007e-09
PCDHA12.rescaled	7.864559e-09
CBLN2.rescaled	7.848821e-09
ATP1A4.rescaled	7.79713e-09
HMMR.rescaled	7.669687e-09
HOXC12.rescaled	7.46011e-09
ERCC6L.rescaled	7.242946e-09
PALM3.rescaled	7.2393305e-09
PAX7.rescaled	7.070017e-09
PTTG1.rescaled	7.0547697e-09
ASCL1.rescaled	6.926724e-09
CDC25C.rescaled	6.899904e-09
KIF15.rescaled	6.738509e-09
SYT13.rescaled	6.6539676e-09
POLQ.rescaled	6.63268e-09
RET.rescaled	6.434965e-09
KAAG1.rescaled	6.2361254e-09
OTX1.rescaled	6.198532e-09
VSTM2A.rescaled	6.1930274e-09
CCNA2.rescaled	5.96406e-09
KIF4A.rescaled	5.940538e-09
CDC20.rescaled	5.879302e-09
TNNT1.rescaled	5.7238383e-09
CLDN14.rescaled	5.7069114e-09
YBX2.rescaled	5.64636e-09
GTSE1.rescaled	5.6255014e-09
POTEF.rescaled	5.6049227e-09
CENPI.rescaled	5.5391123e-09
SLC6A11.rescaled	5.478507e-09
ASPM.rescaled	5.4541145e-09
NTNG1.rescaled	5.397774e-09
XDH.rescaled	5.3840146e-09
POTEE.rescaled	5.3668296e-09
SDR16C5.rescaled	5.173359e-09
CDKN3.rescaled	5.161051e-09
PXDNL.rescaled	5.1574722e-09
SLC25A48.rescaled	5.1295195e-09
KIF2C.rescaled	5.0518834e-09
CDCA5.rescaled	5.050713e-09
CACNA1H.rescaled	5.0322844e-09
ADAMTS19.rescaled	5.030068e-09
BRSK2.rescaled	5.0273647e-09
KIF20A.rescaled	4.996782e-09
PBK.rescaled	4.927146e-09
HJURP.rescaled	4.906864e-09
KIF11.rescaled	4.891871e-09
FAM83D.rescaled	4.8898774e-09
BUB1B.rescaled	4.886623e-09
GAL3ST2.rescaled	4.830941e-09
UGT2B15.rescaled	4.745543e-09
RACGAP1.rescaled	4.7334625e-09
DLGAP5.rescaled	4.681802e-09
ESPL1.rescaled	4.639952e-09
NEU4.rescaled	4.6371302e-09
XKR8.rescaled	4.604468e-09
MCM10.rescaled	4.5586916e-09
CCNB1.rescaled	4.558284e-09
DEPDC1B.rescaled	4.552571e-09
RAD54L.rescaled	4.541182e-09
ESCO2.rescaled	4.525689e-09
NUSAP1.rescaled	4.5029434e-09
ORC1.rescaled	4.497668e-09
CENPA.rescaled	4.4567394e-09
TBC1D3.rescaled	4.3748476e-09
SLC7A4.rescaled	4.32554e-09
KLK10.rescaled	4.3181543e-09
CPNE4.rescaled	4.312579e-09
TDRD5.rescaled	4.2578834e-09
NCAPG.rescaled	4.248503e-09
ANKRD18A.rescaled	4.2155985e-09
GPN2.rescaled	4.1532733e-09
KHDC1.rescaled	4.152825e-09
DCDC2.rescaled	4.057569e-09
SSR4.rescaled	4.050583e-09
TOP2A.rescaled	4.0075294e-09
IQGAP3.rescaled	4.0005004e-09
HOXC10.rescaled	3.904248e-09
NCAPH.rescaled	3.876945e-09
TFPI2.rescaled	3.8392796e-09
PPP4R4.rescaled	3.828819e-09
TIMELESS.rescaled	3.822894e-09
SLC39A1.rescaled	3.813379e-09
DNAH2.rescaled	3.804736e-09
AMH.rescaled	3.784743e-09
KIF14.rescaled	3.7695096e-09
SLC16A9.rescaled	3.756163e-09
SNAPC5.rescaled	3.7467176e-09
CIT.rescaled	3.7338315e-09
PLXNB3.rescaled	3.7264205e-09
TMEM31.rescaled	3.7255576e-09
POU5F1B.rescaled	3.7137027e-09
MYBL2.rescaled	3.7065873e-09
TUBA8.rescaled	3.6895684e-09
ARHGAP40.rescaled	3.6885666e-09
SPC24.rescaled	3.6870402e-09
CDC25A.rescaled	3.6798735e-09
TONSL.rescaled	3.60964e-09
CLGN.rescaled	3.5798986e-09
TP53TG5.rescaled	3.5640924e-09
KLK5.rescaled	3.5628471e-09
ATAD2.rescaled	3.5580003e-09
PKMYT1.rescaled	3.5560277e-09
CASP14.rescaled	3.546323e-09
NEIL3.rescaled	3.5410896e-09
SLC1A6.rescaled	3.5397092e-09
PRC1.rescaled	3.5352816e-09
RBP7.rescaled	3.4992742e-09
FOXM1.rescaled	3.4903582e-09
KBTBD4.rescaled	3.4751497e-09
C2CD4C.rescaled	3.4581409e-09
IGDCC3.rescaled	3.4473984e-09
PCDHA6.rescaled	3.4252567e-09
TPX2.rescaled	3.4113832e-09
ARHGAP11A.rescaled	3.4039744e-09
CDCA2.rescaled	3.4038323e-09
DHFR.rescaled	3.3992378e-09
MUL1.rescaled	3.36138e-09
PANK1.rescaled	3.3476601e-09
GYPE.rescaled	3.3427403e-09
SORCS1.rescaled	3.3243017e-09
PDE6B.rescaled	3.3165606e-09
IL22RA2.rescaled	3.3125167e-09
UGT2B11.rescaled	3.3097747e-09
TMSB15A.rescaled	3.307944e-09
RPS6KA5.rescaled	3.3058536e-09
REPS2.rescaled	3.2929155e-09
SLC44A4.rescaled	3.2705887e-09
CDCA3.rescaled	3.2596572e-09
FGFR3.rescaled	3.2311953e-09
KLK8.rescaled	3.2195655e-09
C19orf33.rescaled	3.2176752e-09
E2F1.rescaled	3.206873e-09
CENPF.rescaled	3.180952e-09
KIFC1.rescaled	3.1545933e-09
SPDYC.rescaled	3.1494836e-09
RECQL4.rescaled	3.1278924e-09
EEF1A2.rescaled	3.1188814e-09
RILPL2.rescaled	3.0930087e-09
HSPA4L.rescaled	3.0905853e-09
EN2.rescaled	3.0876084e-09
GABRE.rescaled	3.0866658e-09
DEAF1.rescaled	3.0864633e-09
RASSF10.rescaled	3.072539e-09
UBE2C.rescaled	3.047068e-09
FOXI1.rescaled	3.005569e-09
GNG13.rescaled	3.0001561e-09
UHRF1.rescaled	2.9945555e-09
KNDC1.rescaled	2.9905207e-09
CACNA1D.rescaled	2.9870515e-09
KRT23.rescaled	2.9866294e-09
UBE2S.rescaled	2.9865577e-09
TMEM139.rescaled	2.9799465e-09
RAD51.rescaled	2.9762897e-09
PVALB.rescaled	2.975259e-09
CENPM.rescaled	2.9584442e-09
HRK.rescaled	2.956263e-09
TTK.rescaled	2.9562555e-09
PLK4.rescaled	2.9545564e-09
FLRT3.rescaled	2.9412388e-09
S100A7A.rescaled	2.9304685e-09
CENPW.rescaled	2.917377e-09
CRABP1.rescaled	2.9100613e-09
MAD2L1.rescaled	2.895005e-09
SORBS2.rescaled	2.8889333e-09
ARHGAP18.rescaled	2.8887175e-09
PCDHA11.rescaled	2.882363e-09
RRM2.rescaled	2.8816751e-09
HAPLN1.rescaled	2.8610314e-09
TM4SF18.rescaled	2.8576173e-09
ADRA2C.rescaled	2.8219664e-09
BUB1.rescaled	2.8180909e-09
CHST6.rescaled	2.8168872e-09
ACBD7.rescaled	2.8131422e-09
ZNF469.rescaled	2.8065972e-09
ARHGAP36.rescaled	2.802439e-09
CENPE.rescaled	2.790797e-09
CCBE1.rescaled	2.7899858e-09
FAM189A1.rescaled	2.7896856e-09
MAPK15.rescaled	2.786022e-09
DCTN5.rescaled	2.7766134e-09
TRIP13.rescaled	2.7670088e-09
SOX11.rescaled	2.7552252e-09
NBPF4.rescaled	2.7522131e-09
FAM72B.rescaled	2.7509826e-09
CDCA8.rescaled	2.7474445e-09
C19orf81.rescaled	2.7471787e-09
CCNO.rescaled	2.745637e-09
VSIG2.rescaled	2.7372988e-09
KIF18B.rescaled	2.735934e-09
ADAMTS20.rescaled	2.7352949e-09
DEPDC1.rescaled	2.734679e-09
NCCRP1.rescaled	2.7327456e-09
TMEM216.rescaled	2.7305636e-09
C3orf52.rescaled	2.7296747e-09
HOXB6.rescaled	2.7253466e-09
CCNB2.rescaled	2.7168765e-09
ATP6AP1.rescaled	2.7048273e-09
ATP6V0A4.rescaled	2.7022762e-09
PITHD1.rescaled	2.701057e-09
SKA1.rescaled	2.7001807e-09
KLHDC7A.rescaled	2.697215e-09
EIF3CL.rescaled	2.6931768e-09
SLC38A3.rescaled	2.6844644e-09
MESP2.rescaled	2.6769402e-09
CAMK2B.rescaled	2.6749618e-09
HHIPL2.rescaled	2.6746245e-09
CDSN.rescaled	2.6745715e-09
KLK7.rescaled	2.6742335e-09
SERPINA6.rescaled	2.6735332e-09
LRRC31.rescaled	2.6701128e-09
ZNF367.rescaled	2.6167617e-09
CCDC150.rescaled	2.6155156e-09
NBPF3.rescaled	2.6081048e-09
CKAP2L.rescaled	2.602764e-09
GLUL.rescaled	2.5993339e-09
COG7.rescaled	2.5779427e-09
EMD.rescaled	2.5769429e-09
CPB1.rescaled	2.571192e-09
ARL2.rescaled	2.5585851e-09
CDR2.rescaled	2.5577231e-09
VSIG4.rescaled	2.5480695e-09
PLK1.rescaled	2.522937e-09
NDC80.rescaled	2.5128626e-09
CYP2A6.rescaled	2.5069722e-09
PPP1R8.rescaled	2.5023612e-09
ALMS1.rescaled	2.4999387e-09
NADK.rescaled	2.489522e-09
TCEAL2.rescaled	2.482044e-09
HELLS.rescaled	2.4737083e-09
BRCA1.rescaled	2.4707043e-09
OIP5.rescaled	2.4704527e-09
LTF.rescaled	2.4665798e-09
PNCK.rescaled	2.461833e-09
PTPMT1.rescaled	2.4467588e-09
GRHL3.rescaled	2.4465716e-09
SMYD2.rescaled	2.4418927e-09
EDARADD.rescaled	2.4354119e-09
B3GNT9.rescaled	2.4006113e-09
MCM8.rescaled	2.3991484e-09
KLHL21.rescaled	2.3904523e-09
MRC1.rescaled	2.3780804e-09
RANBP17.rescaled	2.3760154e-09
SIRT3.rescaled	2.3751812e-09
ZMAT1.rescaled	2.3719204e-09
IRAK3.rescaled	2.3718623e-09
FAM3A.rescaled	2.370296e-09
CLSPN.rescaled	2.366414e-09
AURKB.rescaled	2.364071e-09
TMEM126A.rescaled	2.3578834e-09
CENPN.rescaled	2.3553484e-09
RNASE1.rescaled	2.3549904e-09
CENPH.rescaled	2.3492606e-09
RNASET2.rescaled	2.3492401e-09
GPATCH3.rescaled	2.3365003e-09
ABCC11.rescaled	2.3315405e-09
TUBB2B.rescaled	2.328002e-09
PI3.rescaled	2.323407e-09
KLK11.rescaled	2.3219182e-09
ANKRD30B.rescaled	2.3005449e-09
