	LIME Importance
SYT1.rescaled	-0.000572101721681098
PRAME.rescaled	-0.0004687891728616384
HOXC13.rescaled	-0.00046227061892387063
PCDHA12.rescaled	0.000424248248104653
SOWAHA.rescaled	0.00031961373385425645
S100A7.rescaled	-0.0002837042554168106
CKMT1B.rescaled	-0.0002538895829401009
CBLN2.rescaled	-0.00023919333097303127
VSTM2A.rescaled	-0.00023874438278239038
ATP1A4.rescaled	0.00023348077829687245
HOXC12.rescaled	-0.00021519891728287276
SYT13.rescaled	-0.00021340191851049498
SLITRK6.rescaled	-0.0002078545740318514
THEG.rescaled	-0.00019444985968077312
PAX7.rescaled	-0.00017847847795379797
POLQ.rescaled	-0.00017599051545203303
ASCL1.rescaled	-0.000174793154117735
TMEM215.rescaled	0.0001633404978359864
ADAMTS19.rescaled	-0.00015953153120402876
PPP4R4.rescaled	0.00015898241360044461
CKMT1A.rescaled	-0.0001568209388241571
SLC6A11.rescaled	-0.00015083929754230313
SLC7A4.rescaled	0.00014169244986162718
CDC25C.rescaled	-0.00012082156737502293
POTEF.rescaled	-0.00011964242601425708
SERPINA6.rescaled	0.00011438215836760269
PALM3.rescaled	-0.00011020859815117395
TNNT1.rescaled	-0.00010279261339493954
UCP1.rescaled	0.00010104898260330857
KLK6.rescaled	-0.0001004868915361219
KAAG1.rescaled	9.88401237633689e-05
UGT2B15.rescaled	-9.386196182849532e-05
UPK3A.rescaled	9.363718179224928e-05
UGT2B11.rescaled	-9.186470063900112e-05
ARHGAP40.rescaled	8.508343090878898e-05
NTNG1.rescaled	-8.312619882660456e-05
YBX2.rescaled	-8.310305452023995e-05
CCNB1.rescaled	-8.290912084343903e-05
BRSK2.rescaled	-8.264881893533992e-05
FAM189A1.rescaled	7.874536932701316e-05
TCEAL5.rescaled	7.603858047547675e-05
CDCA5.rescaled	-7.477881468665843e-05
CLDN14.rescaled	7.25548790235154e-05
KIF11.rescaled	-7.234701339746237e-05
SPAG6.rescaled	6.941909731183724e-05
KIF4A.rescaled	-6.828638599002052e-05
C19orf81.rescaled	-6.826282227420926e-05
SDR16C5.rescaled	6.622481660613895e-05
TACC3.rescaled	-6.541596363622773e-05
HOXC10.rescaled	-6.495758965384356e-05
HMMR.rescaled	-6.388721207757523e-05
IGDCC3.rescaled	6.358092632693677e-05
PXDNL.rescaled	-6.287910811523346e-05
KIF20A.rescaled	-6.230486312290818e-05
S100A7A.rescaled	-6.177247942641794e-05
TP53TG5.rescaled	6.172855000395058e-05
TBC1D3.rescaled	6.117501794855066e-05
POTEE.rescaled	-6.0530991115257815e-05
XDH.rescaled	-5.907564104512042e-05
NEU4.rescaled	-5.8916171454708934e-05
CLGN.rescaled	5.7109818398070366e-05
ERCC6L.rescaled	-5.675175568200021e-05
CDKN3.rescaled	-5.6214324131126874e-05
SLC25A48.rescaled	-5.602267979648127e-05
LRRC31.rescaled	5.5991452809196395e-05
KLHDC7A.rescaled	5.5843580959719175e-05
RET.rescaled	-5.5808292972709066e-05
OR10AD1.rescaled	-5.463431084378847e-05
SORCS1.rescaled	-5.3524711238803995e-05
DEPDC1B.rescaled	-5.333929439169006e-05
KLK10.rescaled	-5.323970926307789e-05
TMEM31.rescaled	-5.303297485443172e-05
AMH.rescaled	-5.2428196341084857e-05
CPB1.rescaled	5.10004801819419e-05
NKAIN4.rescaled	5.086831531366913e-05
OTX1.rescaled	-5.076101737664134e-05
KLK8.rescaled	-5.048825181319591e-05
SSR4.rescaled	-5.046127862687215e-05
ADAMTS20.rescaled	4.999814658514041e-05
CASP14.rescaled	-4.92875112261638e-05
AHSP.rescaled	4.895798388938989e-05
GAL3ST2.rescaled	-4.8358417216506704e-05
TFPI2.rescaled	4.770836888745967e-05
MKI67.rescaled	-4.6731785087148324e-05
MS4A6E.rescaled	4.671866006462392e-05
MAGEA3.rescaled	-4.5127174597223835e-05
TDRD5.rescaled	4.349276177160616e-05
ANKRD18A.rescaled	4.326040380264312e-05
KNDC1.rescaled	-4.261875706446219e-05
KCNS2.rescaled	4.254825625459886e-05
KIF15.rescaled	-4.238859670718898e-05
DLGAP5.rescaled	-4.101254416372896e-05
VSIG2.rescaled	4.072722038869422e-05
RAB20.rescaled	4.070483090154183e-05
PTTG1.rescaled	-3.9777388348118754e-05
SPC24.rescaled	-3.953694238557926e-05
C19orf33.rescaled	-3.933735439409134e-05
GRIK1.rescaled	3.920391810630281e-05
SEC14L4.rescaled	-3.8936037795889493e-05
TROAP.rescaled	-3.837705782556612e-05
PCDHA6.rescaled	3.779043908477154e-05
HRK.rescaled	-3.7441053339663215e-05
ORM2.rescaled	-3.6935429522130656e-05
GTSE1.rescaled	-3.686541471625197e-05
CSMD1.rescaled	3.634287666971464e-05
MMP24.rescaled	-3.5251690058948065e-05
EN2.rescaled	-3.5042456739450535e-05
KIF1A.rescaled	-3.503127947854974e-05
CRABP1.rescaled	-3.4779932671763375e-05
CYP2A6.rescaled	3.431412715289279e-05
ARHGAP36.rescaled	3.408321228834372e-05
RUNDC1.rescaled	3.404256100453729e-05
MAP6D1.rescaled	3.399676004620672e-05
SLC6A2.rescaled	-3.38680607475957e-05
CYP1A1.rescaled	3.3486464680001947e-05
PBK.rescaled	-3.346964899682361e-05
OR11A1.rescaled	3.341824022506945e-05
CDSN.rescaled	-3.308400899317045e-05
HOXB5.rescaled	3.302934351456079e-05
EIF3CL.rescaled	-3.2486647337416825e-05
TUBB2B.rescaled	3.226608555402755e-05
PANK1.rescaled	-3.2041155536407925e-05
THSD7B.rescaled	3.157768688175676e-05
HS3ST4.rescaled	3.1538325961564817e-05
TUBA8.rescaled	3.143495244285166e-05
NEUROG2.rescaled	3.099170600155131e-05
GATA5.rescaled	-3.094061608303493e-05
SLC1A6.rescaled	-3.057450651342085e-05
SHROOM1.rescaled	3.01593563775871e-05
RANBP17.rescaled	-3.0000359922206823e-05
XPOT.rescaled	-2.9870594260965415e-05
NCAPG.rescaled	-2.9727084487728254e-05
SEZ6.rescaled	2.9723646057088205e-05
KERA.rescaled	2.9594074431178345e-05
XKR8.rescaled	2.9589629034503367e-05
HOXC11.rescaled	-2.9322408927285142e-05
GHRH.rescaled	2.9089854722435e-05
MCCD1.rescaled	2.905650871653463e-05
AMTN.rescaled	-2.9042312523532522e-05
CACNA1H.rescaled	-2.8665323708219075e-05
SLC16A9.rescaled	2.86064431097743e-05
PKMYT1.rescaled	-2.8072342391611504e-05
GATA1.rescaled	2.7932746034357252e-05
