	shap_value
FAM189A1.rescaled	0.005308550695501467
S100A7.rescaled	0.005244060355399273
THEG.rescaled	0.004828799365979097
PCDHA3.rescaled	0.004480200503881754
QRFP.rescaled	0.0037596037245609813
GPR25.rescaled	-0.0034870294265170023
WDR72.rescaled	-0.003356010695168887
OR1L8.rescaled	0.0032995345514988785
CIB3.rescaled	-0.003237231048208611
VWA2.rescaled	0.003129425414682863
KAAG1.rescaled	0.0031236665802553154
BMPR1B.rescaled	0.0029689410886711014
PNPLA3.rescaled	0.002958882120876864
BCL2L10.rescaled	-0.0027572971160868855
PCDHA12.rescaled	0.002750112620519175
TTPA.rescaled	0.0027297195042460098
SIGLEC14.rescaled	0.002653405057492715
PRAME.rescaled	0.002641160851325558
KLHDC7A.rescaled	0.002639827183761751
GRIK4.rescaled	0.0026099166867222484
SGPP2.rescaled	0.0026062195192532666
CEACAM5.rescaled	-0.00256306819952262
OPRD1.rescaled	0.002554468005739189
IL2.rescaled	0.0025486468586152673
ADAMTS19.rescaled	-0.002544612246115218
NXNL2.rescaled	0.002541292883455408
ZNF676.rescaled	-0.002535019122849526
CELF5.rescaled	0.002504330147051848
SAA4.rescaled	0.002493336982497915
OR2A7.rescaled	0.0024879790175835787
SLC44A1.rescaled	0.002434769451027043
PCDHA4.rescaled	0.0024311400500685197
SLC30A2.rescaled	0.0024004376013532502
CACNG1.rescaled	-0.0023847345440700628
PPP1R14C.rescaled	0.002355903085124719
DCDC2.rescaled	0.002305305822691129
HOXB5.rescaled	0.002288543342210348
IGDCC3.rescaled	0.0022565003236100114
CACNA1H.rescaled	-0.0022434361887874944
RDH12.rescaled	0.002185190934487436
ARL9.rescaled	0.002155729945400436
SLC17A9.rescaled	0.0021471195341848286
CCL18.rescaled	0.002108317535588333
HOXB6.rescaled	0.0021056245234486464
SYT1.rescaled	-0.0021043954775971283
RET.rescaled	-0.0020986618468980967
ATP1A4.rescaled	0.002075463693694215
HOXB8.rescaled	0.0020592194401506114
FUT6.rescaled	-0.0020481893963912295
ADAMDEC1.rescaled	0.00203944415504073
ABHD12B.rescaled	0.0020281010783475485
SH2D2A.rescaled	0.002004928633154362
SLC25A27.rescaled	0.0019897716703445247
STAT1.rescaled	0.0019522618115183552
FUT3.rescaled	0.0019358689002452357
LAG3.rescaled	0.0019194012550286309
MTRNR2L5.rescaled	0.0019158226081277905
GGH.rescaled	0.0019136267071478868
CST1.rescaled	-0.0018908133573688076
ANKRD30A.rescaled	0.0018736646144844654
CLIC6.rescaled	-0.0018616302533082437
PTGER1.rescaled	-0.0018604683947560082
MUC5B.rescaled	-0.0018585924762100615
S100A9.rescaled	0.0018571064520850808
CHRDL2.rescaled	0.0018371296926064243
SCML4.rescaled	0.001823603573125137
RHBDF2.rescaled	0.0018220672558182855
GSTP1.rescaled	-0.0018004302234683705
OR10AD1.rescaled	-0.0017850804828274877
GPR19.rescaled	0.0017735349300697179
SYT13.rescaled	-0.001748789116790161
MRPL11.rescaled	0.0017418927516390209
MUC6.rescaled	-0.0017413037539515588
CAMP.rescaled	0.001739178691884357
GPR39.rescaled	-0.0017378442986848758
VSX1.rescaled	0.001728574841106271
SYT9.rescaled	0.0017269119579178171
SLC10A5.rescaled	0.0017258609526192765
FANCA.rescaled	0.001723053412441628
PDCD1LG2.rescaled	0.0017142040697098345
TMSB15A.rescaled	0.0016904647469093345
UCP1.rescaled	-0.0016847859489480448
TBC1D3.rescaled	0.0016803207853118066
ZNF273.rescaled	0.0016733512197518903
ZFR2.rescaled	-0.0016699770247190534
SLC4A4.rescaled	-0.0016517564903548731
NTN4.rescaled	0.0016499702325789747
GINS1.rescaled	0.0016474840599635086
TMEM171.rescaled	0.001644743725882258
TXK.rescaled	0.0016432835475649055
NAT8B.rescaled	0.0016431177488470219
TAT.rescaled	-0.0016179628276581587
PLEKHG4B.rescaled	0.0016152551858641304
PDCD1.rescaled	0.0016136321222778064
AREG.rescaled	0.0016051680619652497
SLAMF6.rescaled	0.0016006141792619763
SULT2B1.rescaled	-0.0015988909925971596
KLRC1.rescaled	-0.0015955360083578405
WFDC2.rescaled	-0.0015936007659596598
STAT4.rescaled	0.0015924613637758483
ARHGAP40.rescaled	-0.0015905810624145381
HRK.rescaled	0.0015890964378883212
CD177.rescaled	0.0015851613135460217
MS4A15.rescaled	0.0015804731835064906
PABPC1.rescaled	0.0015767274914637785
CENPW.rescaled	0.0015672191906262699
CARD9.rescaled	0.0015646696148288815
TMEM45B.rescaled	0.0015577965984959548
TIMD4.rescaled	0.0015560862695337624
ARHGDIG.rescaled	0.0015544045978962942
CNKSR3.rescaled	0.0015443271616294308
RAB9B.rescaled	-0.0015423103716381448
IL2RA.rescaled	0.0015403553487843718
PCDHA11.rescaled	0.0015402001891617288
KIF18B.rescaled	0.001539393507191501
CDC20.rescaled	0.001538422120190105
PSPN.rescaled	0.0015258586468155707
LRRIQ3.rescaled	0.0015255129931576134
FAM72D.rescaled	0.0015220209256845481
CHRNA5.rescaled	0.0015190313822363028
MYBL2.rescaled	0.0015182401282100957
CGA.rescaled	0.0015122964581703098
OR1J1.rescaled	0.0015102152662875568
MARCO.rescaled	0.0015101914687227593
OR52K2.rescaled	-0.0014986167975273223
CDT1.rescaled	0.0014956914865300083
MPP7.rescaled	0.0014896377189063436
ATRNL1.rescaled	-0.0014876450763497185
ZIM2.rescaled	0.0014864430314339833
DLGAP1.rescaled	-0.0014845218526505892
CXCL11.rescaled	0.001483587229924466
CACNG6.rescaled	0.001481999112727554
FGF20.rescaled	0.001476964570883935
CNFN.rescaled	-0.0014698465924136604
TMEM31.rescaled	0.001468210403186716
PMCH.rescaled	0.0014667492747532434
C10orf67.rescaled	0.0014627935604984354
