	SHAP Value
SERPINA11.rescaled	-0.0008938555323969975
NEK10.rescaled	-0.0008777035280193188
ANKRD30A.rescaled	-0.0008602705221823253
PGR.rescaled	-0.0008283295294954405
SLC7A4.rescaled	-0.0008278663434278671
PHGR1.rescaled	-0.0008175212322500129
SCN7A.rescaled	-0.0008168025043164075
SYT9.rescaled	-0.0007992273476533415
KCNJ10.rescaled	0.0007985534576426032
TMEM132C.rescaled	-0.0007777633481842969
ABCA8.rescaled	-0.0007772877563615685
SLC44A4.rescaled	-0.0007629139147805359
TAT.rescaled	-0.0007605216396406999
TCEAL5.rescaled	-0.0007594045520827766
PHYHD1.rescaled	-0.0007541671950063332
TNXB.rescaled	-0.000752712972663584
DLX2.rescaled	-0.0007497453339831706
FAM72A.rescaled	0.0007429982852721793
COL17A1.rescaled	-0.0007412224288758855
ZBED2.rescaled	0.0007370748887318778
AVPR2.rescaled	-0.0007275928027250999
IL4I1.rescaled	0.0007262962741950608
POLQ.rescaled	0.0007231748092548434
KIF2C.rescaled	0.0007228569388710917
KCNE4.rescaled	-0.000722271126007487
AGR3.rescaled	-0.0007191643644070521
RERGL.rescaled	-0.0007144306343967347
ESR1.rescaled	-0.0007143515509661584
MCM10.rescaled	0.0007131324532220673
ANKRD30B.rescaled	-0.000712550882668663
ABCA10.rescaled	-0.0007071750149177348
NXNL2.rescaled	-0.0007069798440997382
PTPRT.rescaled	-0.0007066064055000301
CLEC6A.rescaled	0.0007061399988390611
CDCA5.rescaled	0.000700138585430467
AQP7.rescaled	-0.0006995491860529705
CD80.rescaled	0.000697986787088961
AK5.rescaled	-0.0006946706655846764
CCDC158.rescaled	-0.0006898532792029161
TMEM26.rescaled	-0.0006866001451498224
NCAPH.rescaled	0.000685791516422257
CMA1.rescaled	-0.0006812630353518149
IFNG.rescaled	0.000680291994287128
NOSTRIN.rescaled	-0.0006781815356634247
CD300LG.rescaled	-0.0006781070047875189
CT62.rescaled	-0.0006739685655967377
NAT1.rescaled	-0.00066971553233698
KIF18B.rescaled	0.0006694525134105912
CDCA8.rescaled	0.0006684463684729769
ST8SIA6.rescaled	-0.0006674596555927124
SPATA4.rescaled	-0.0006670411122135437
MAPT.rescaled	-0.0006669939215213676
CDC20.rescaled	0.0006637733218837013
PTTG1.rescaled	0.0006634649016176025
MYBL2.rescaled	0.0006622841309597827
FMO5.rescaled	-0.0006603662682355975
LYPD6.rescaled	-0.0006597845649705304
CAPN8.rescaled	-0.0006586432956941449
ERBB4.rescaled	-0.0006585126945936942
THSD4.rescaled	-0.0006579203194696039
TACC3.rescaled	0.0006577298603419233
E2F1.rescaled	0.0006569563902880665
PIP.rescaled	-0.000656730649632082
TMPRSS6.rescaled	-0.0006561577752919901
GRPR.rescaled	-0.0006556489649938693
PPP1R36.rescaled	-0.0006555239651615292
SCUBE2.rescaled	-0.0006537385185259221
MCM2.rescaled	0.0006520859158791747
SPARCL1.rescaled	-0.0006504120465329413
LRGUK.rescaled	-0.0006503188513083619
ADH1B.rescaled	-0.0006501854827666751
CCNA2.rescaled	0.0006488407697488339
CLSPN.rescaled	0.0006469993931678095
RAD54L.rescaled	0.0006456301184296613
ZNF695.rescaled	0.0006454876166017585
AURKB.rescaled	0.0006431724318908846
LRP2.rescaled	-0.0006429916902800134
CARD17.rescaled	0.0006420650410118913
MMRN1.rescaled	-0.000640119112734673
ARHGAP40.rescaled	-0.0006385506956609468
HSPB6.rescaled	-0.0006379780164347938
LAG3.rescaled	0.0006375166186817919
BUB1.rescaled	0.0006365251688077126
TFAP2B.rescaled	-0.0006357937741639307
ATP1A4.rescaled	-0.0006353795483419168
ORC1.rescaled	0.0006326160616046796
LRRN4CL.rescaled	-0.0006322121278106099
PLK1.rescaled	0.0006289742313107612
KCNE1.rescaled	-0.0006287794299259416
FOXA1.rescaled	-0.0006283112737761557
DNAH9.rescaled	-0.0006273857744192347
KIF15.rescaled	0.0006264219053695286
ADAM33.rescaled	-0.0006262710811218306
ZNF214.rescaled	-0.0006259195583347038
MMP1.rescaled	0.0006240577626909986
STAT1.rescaled	0.0006239256632772616
AFF3.rescaled	-0.0006225153022759072
CENPA.rescaled	0.0006215882255385878
CASP5.rescaled	0.0006213191771213605
ARHGEF38.rescaled	-0.0006204402026700136
LCN6.rescaled	-0.0006203044216921157
IL20RA.rescaled	-0.000619842918841627
DEPDC1B.rescaled	0.0006198208467205055
C1QTNF7.rescaled	-0.0006190677967228416
OASL.rescaled	0.0006189950336682463
FPR2.rescaled	0.0006184354266480646
RAPGEF3.rescaled	-0.0006180945524811312
RAB6C.rescaled	-0.0006180511439064587
NEK5.rescaled	-0.0006172236365719948
ZNF385B.rescaled	-0.0006171944094768564
FSIP1.rescaled	-0.0006170256315617653
EMCN.rescaled	-0.0006169562644199542
CELSR1.rescaled	-0.0006166284454624039
ABCC8.rescaled	-0.0006163245679971755
SLC7A2.rescaled	-0.0006157944189863289
ADAMDEC1.rescaled	0.0006154061310027127
ABCA9.rescaled	-0.0006154036591791428
MLPH.rescaled	-0.0006150511800785389
E2F8.rescaled	0.000614691171796767
STK32B.rescaled	-0.0006143591862147527
FOXM1.rescaled	0.0006142501155706639
PAMR1.rescaled	-0.0006138494454185453
SHC2.rescaled	-0.0006137490657125552
KIF14.rescaled	0.0006132503510671444
CCL14.rescaled	-0.000612450429052851
ZCCHC24.rescaled	-0.0006115397442222524
DEGS2.rescaled	-0.0006109204866046482
TMC5.rescaled	-0.0006107535929998558
CEP55.rescaled	0.0006098212542135838
SCARA5.rescaled	-0.0006097641574596074
PRAME.rescaled	0.0006086877656048306
ESPL1.rescaled	0.0006086083414710598
MYB.rescaled	-0.0006083499510304397
GPIHBP1.rescaled	-0.0006069337631953451
PTPRB.rescaled	-0.0006063352968242096
LONRF2.rescaled	-0.0006060914121111693
PREX2.rescaled	-0.0006060873964581044
C7.rescaled	-0.0006057848717724504
CHRDL1.rescaled	-0.0006055661617491122
ICOS.rescaled	0.0006053921262166443
EBF2.rescaled	-0.0006048586490335375
CARD10.rescaled	-0.0006046425375878566
FAM189A2.rescaled	-0.0006045467664184395
DYNLRB2.rescaled	-0.0006019021113269494
GFRA1.rescaled	-0.0006017452331697934
ZBTB7C.rescaled	-0.0006014982729701436
C4A.rescaled	-0.0006014578356065782
PLIN4.rescaled	-0.0006001471694535949
LDLRAD2.rescaled	-0.000599827508631256
HPSE.rescaled	0.0005994665202980671
CCR8.rescaled	0.0005982485728931049
ADAMTS15.rescaled	-0.0005976968726896723
DLGAP5.rescaled	0.0005976853168206276
KIF4A.rescaled	0.0005972266625244049
CXCL11.rescaled	0.0005968384887047574
CENPI.rescaled	0.0005964651968272455
MYH11.rescaled	-0.0005959345557309257
GINS1.rescaled	0.000595010690632207
ATP1A2.rescaled	-0.0005943970257172069
MELK.rescaled	0.0005937987762620441
AURKA.rescaled	0.0005935821228551091
MAMDC2.rescaled	-0.0005935494991755869
TPO.rescaled	-0.0005929709006148162
NCAPG.rescaled	0.0005928127615613782
GP2.rescaled	-0.0005927670372402993
STEAP4.rescaled	-0.0005919683539187463
COL14A1.rescaled	-0.0005914786228191374
TPX2.rescaled	0.0005914551862796186
DACH1.rescaled	-0.0005909936796357508
TROAP.rescaled	0.00059080910352559
FAM161B.rescaled	-0.0005905552991258369
MRAP.rescaled	-0.0005900822657260044
ZMYND10.rescaled	-0.0005897972667435992
UBXN10.rescaled	-0.0005897479500792931
DBX2.rescaled	-0.0005896279097511879
RNASE4.rescaled	-0.0005894519178241291
SLC7A3.rescaled	-0.0005891254686958457
CCNB2.rescaled	0.0005891168372836953
ASPM.rescaled	0.0005887039002313566
CLSTN2.rescaled	-0.0005885835904127809
PHYHIP.rescaled	-0.0005885138470247122
CDC25A.rescaled	0.0005860925531736012
BUB1B.rescaled	0.0005852536341447969
SYBU.rescaled	-0.0005850588469000387
TMEM88.rescaled	-0.000584502665339488
KIF13B.rescaled	-0.0005841581529880442
SPAG6.rescaled	-0.0005840290447823658
IGFALS.rescaled	-0.000583426524344193
HMGA1.rescaled	0.0005810116430863331
OGN.rescaled	-0.0005809267623640288
INMT.rescaled	-0.0005808630617877039
FAM72D.rescaled	0.0005801278967898159
WDR31.rescaled	-0.0005800952767942904
VWA2.rescaled	-0.0005796177962595794
NOVA1.rescaled	-0.0005796091389029808
SCN2B.rescaled	-0.0005795383454967023
FAM47E.rescaled	-0.0005783519019770756
TTK.rescaled	0.000578025327926413
PLIN1.rescaled	-0.0005779358599941147
GPD1.rescaled	-0.0005772465541548567
CDO1.rescaled	-0.0005759539805955891
TMEM232.rescaled	-0.0005758680941092373
NTF4.rescaled	-0.0005754818989274025
WNK4.rescaled	-0.0005749325745437137
SLC25A19.rescaled	0.0005745220998517607
ZFP2.rescaled	-0.0005743666055415355
PIEZO2.rescaled	-0.0005743433823585705
ADIPOQ.rescaled	-0.0005739342446227017
LRRC17.rescaled	-0.0005732005770645227
EXO1.rescaled	0.0005728842700494596
CACNA1D.rescaled	-0.0005727027289933105
CXCL10.rescaled	0.0005724959520132422
IL33.rescaled	-0.0005722637016028731
GRIA4.rescaled	-0.0005714771740957525
MTHFR.rescaled	-0.0005701069148274486
OXTR.rescaled	-0.0005700369525933722
SAMD15.rescaled	-0.0005698708115104334
XBP1.rescaled	-0.0005688952942865228
PTGER3.rescaled	-0.0005677624732126609
SLC39A6.rescaled	-0.000566838648743032
CYB5D2.rescaled	-0.0005666438951463989
GREM2.rescaled	-0.0005666146337295921
ADCYAP1R1.rescaled	-0.000566195342041644
TUBA1C.rescaled	0.0005661752947064957
GPRASP2.rescaled	-0.0005658049336514403
KCNJ11.rescaled	-0.0005656524192759263
GBP1.rescaled	0.0005650567077679845
ATOH8.rescaled	-0.0005637042469661753
AKAP12.rescaled	-0.0005635831703207269
HCAR1.rescaled	-0.0005635337156255924
CASQ2.rescaled	-0.0005634557049587677
FAM72B.rescaled	0.0005627569268611982
WDR93.rescaled	-0.0005623080461596487
KIF20A.rescaled	0.0005616633898003726
GBP5.rescaled	0.0005607952909520902
AR.rescaled	-0.0005607097344899968
PDZK1.rescaled	-0.0005603826902089269
KIFC1.rescaled	0.0005600110179805424
CDON.rescaled	-0.0005598564187596036
GREB1L.rescaled	-0.0005596391633668661
