	feature_importance
THEG.rescaled	0.20906585356628785
TBC1D3.rescaled	0.17839370617755093
ABHD12B.rescaled	0.16747999599558358
BMPR1B.rescaled	-0.16686216516010433
HOXB13.rescaled	0.1668077058462273
SLC7A4.rescaled	-0.14970364050444712
SCN8A.rescaled	0.143357514903851
PSPN.rescaled	0.14273068794939894
QRFP.rescaled	0.14263839480075313
CDC25C.rescaled	0.14005197481583742
ZMAT4.rescaled	0.13917366148069643
S100A7.rescaled	0.13807934335235614
SGPP2.rescaled	0.13374934585774725
PCDHA3.rescaled	-0.13353116684235658
OR2C1.rescaled	-0.1333811135812033
SYT13.rescaled	0.13286043169155956
NLRP6.rescaled	-0.1316529683383174
RNF224.rescaled	0.1298184790931002
SORCS1.rescaled	0.12955838906514625
CST1.rescaled	0.12929354314235478
CELF5.rescaled	0.12786320315681832
TTPA.rescaled	0.12763760097338397
SPATA22.rescaled	-0.12672953291967057
WDR72.rescaled	0.126515587120053
HOXC11.rescaled	0.12319236880585079
OR10AD1.rescaled	0.12218058606118001
OR1L8.rescaled	-0.12181071515395596
XKRX.rescaled	0.120486762020865
RIIAD1.rescaled	0.11798468820418431
DQX1.rescaled	0.11716795541753357
INSM1.rescaled	0.11666007421390434
OPRD1.rescaled	0.11611441865281423
CEACAM5.rescaled	0.11546220093464586
PCDHA7.rescaled	0.11415928863948958
RDM1.rescaled	0.11302696763485905
HES5.rescaled	-0.11301964380391172
IGDCC3.rescaled	-0.11243569594103718
YBX2.rescaled	0.11164913371767059
TMEM26.rescaled	-0.11067837885275887
CLIC6.rescaled	-0.11044193811460189
CIB3.rescaled	0.10838703781901733
TIMD4.rescaled	0.10814559909225104
C19orf33.rescaled	0.10673122282609848
CECR2.rescaled	0.10622429962038378
KCNE2.rescaled	0.10617098682996584
RET.rescaled	0.10574825625169744
ERCC6L.rescaled	0.105558898680269
ASPM.rescaled	0.10555699653566893
CENPI.rescaled	0.1053732486668792
CYP4F12.rescaled	0.10512844808012702
CENPE.rescaled	0.10504591828062389
SLC7A13.rescaled	0.10475632103718603
AMH.rescaled	0.10453794145134618
OTX1.rescaled	0.10433067400726743
GINS1.rescaled	0.10426148111115845
C2CD4C.rescaled	0.1024267884626141
RDH12.rescaled	-0.10202823014487122
DEPDC1.rescaled	0.10173602531544859
PTTG1.rescaled	0.1014824646511267
HOXC10.rescaled	0.10131234831534762
CAMP.rescaled	0.10124234141967971
GAS2L3.rescaled	0.10109593977426475
POLQ.rescaled	0.10043483846939519
ESPL1.rescaled	0.10005510208048254
ATP1A4.rescaled	-0.09902529342269718
ARHGAP11A.rescaled	0.09884714062750727
FAM181B.rescaled	-0.09853336579098285
SLC30A2.rescaled	-0.098493917396225
UCP1.rescaled	-0.09840796814726924
CCL16.rescaled	-0.0982887362379333
CHRNA1.rescaled	0.09805950366582032
POC1A.rescaled	0.09794754689847408
TUBB4A.rescaled	0.09775745917427241
KIF20A.rescaled	0.09766024959258275
TTR.rescaled	0.0975049177809623
KIF2C.rescaled	0.09744759939603313
PPP1R36.rescaled	-0.09728847651166107
CYP2J2.rescaled	0.0972554809991417
SAA4.rescaled	0.09713795387584169
FAM111B.rescaled	0.09701592739447523
UPK3A.rescaled	0.09700477146741315
CCNB1.rescaled	0.09656944516504672
RACGAP1.rescaled	0.09652209474725992
ESCO2.rescaled	0.0961828977197797
OR1C1.rescaled	-0.09589519745707642
CLDN20.rescaled	0.0955667321802132
TMEM191C.rescaled	0.09556324241855961
HHIPL2.rescaled	0.09493665041682925
GRIK1.rescaled	-0.09483496419679478
IFITM2.rescaled	-0.0946034299608186
DIRC1.rescaled	-0.09459812493632645
IRX2.rescaled	-0.09430961491167025
NEK2.rescaled	0.09424305570707701
DEFB124.rescaled	0.09375114478390292
FOXM1.rescaled	0.09342036027546019
GSTP1.rescaled	-0.09341925797456817
ZIM2.rescaled	0.09328255878452699
KIF4A.rescaled	0.09322580962538395
LRRIQ3.rescaled	-0.09318251580298928
TNFSF15.rescaled	0.09305322815925454
WDHD1.rescaled	0.09303075226319664
KIF11.rescaled	0.09284337129247106
EXO1.rescaled	0.09276776260706235
ASF1B.rescaled	0.09268334119812811
CCNB2.rescaled	0.09252155911626454
UGT2B17.rescaled	0.09248466897990516
TNN.rescaled	-0.09244400600662805
CRHR2.rescaled	-0.09234651443350644
TMEM52.rescaled	0.09222232271722998
PLEKHG4B.rescaled	0.0918865124955248
TMC5.rescaled	-0.09186625453362524
BEX1.rescaled	0.09183575372234251
OR2A1.rescaled	0.09160131596279653
CUL5.rescaled	-0.09113014589605432
CDKN3.rescaled	0.09095966546069255
KIF18B.rescaled	0.09093769315988216
SKA1.rescaled	0.09068694866102481
E2F8.rescaled	0.09060010794750828
DLGAP5.rescaled	0.09058217257761389
KIF14.rescaled	0.09022370086833156
TIMELESS.rescaled	0.08999659201070156
KIF15.rescaled	0.0898311457409482
C11orf42.rescaled	0.0897510014810983
PYROXD2.rescaled	-0.08968303610969848
RAB40A.rescaled	0.08936402662268762
NXNL2.rescaled	-0.08921448062804488
HMGCS2.rescaled	0.08918114397370663
GTSE1.rescaled	0.08896822112527783
MRPL11.rescaled	0.08890116147525771
GGH.rescaled	0.08875790777120465
MNX1.rescaled	0.08867708285432618
SCNN1G.rescaled	0.08863402322971878
CNTNAP2.rescaled	0.08827236727361007
TRPA1.rescaled	0.08803843173952611
PLAC1.rescaled	0.08802965841901329
MKI67.rescaled	0.08787567185385656
NUF2.rescaled	0.08760981571735807
GPD1L.rescaled	-0.08737878275673493
SKA3.rescaled	0.08729712501707253
TTK.rescaled	0.08719273848241692
DEPDC1B.rescaled	0.08677128821408024
PCDHA4.rescaled	-0.08672574439034579
CXCL17.rescaled	0.08670864072208266
ORC1.rescaled	0.08663478412671465
PEX5L.rescaled	0.08646672554380447
PNPLA3.rescaled	0.08633081288702675
PCDHA12.rescaled	-0.08622763956821977
MRPS31.rescaled	-0.086081522070758
ARHGDIG.rescaled	0.08599515536342152
GPR25.rescaled	-0.0859384635263652
CENPN.rescaled	0.08568845207780668
CD300LG.rescaled	-0.08559454667398753
WT1.rescaled	-0.08547878003440636
PTTG2.rescaled	0.08542938300682103
FAM83D.rescaled	0.08523014237148292
HCN2.rescaled	0.08511339538636867
EME1.rescaled	0.08509152616008082
PYY.rescaled	0.08483751528253719
HOXB6.rescaled	-0.0847414336795968
CCL18.rescaled	0.08462986326495364
MPP7.rescaled	-0.0844985181527967
GIPC2.rescaled	-0.08443683538627753
ASCL1.rescaled	0.08443644099574782
UPK1A.rescaled	0.084345227000953
PEG10.rescaled	0.08408958097490861
CENPF.rescaled	0.08408562586692922
C19orf81.rescaled	0.08394508033565053
EIF4E1B.rescaled	0.08393582035100723
VSX1.rescaled	0.08388673146011452
SYT1.rescaled	0.08387703030419516
LRRC37A.rescaled	0.08380729213980813
PRAME.rescaled	0.0837614021277911
CACNG6.rescaled	0.08368376141499081
SLC39A2.rescaled	0.08368000471937262
ASB12.rescaled	-0.08363347214386797
TOP2A.rescaled	0.08356289439174183
LMNB1.rescaled	0.08351543514482317
CNTF.rescaled	0.08333158441772799
VWA2.rescaled	-0.08330012911959042
TRPV3.rescaled	0.08324752030996832
BUB1.rescaled	0.08307763892041499
MYBL2.rescaled	0.08288582130456087
HOXB5.rescaled	-0.08274440597643681
VSTM1.rescaled	-0.0826908222177642
DLGAP1.rescaled	-0.08260451715499227
HSD17B1.rescaled	-0.08258743259330932
TMSB15A.rescaled	0.08252864853667924
CDC6.rescaled	0.08239699855173542
GNRH1.rescaled	0.08220383122111005
DAND5.rescaled	0.08218716196480799
CDT1.rescaled	0.08206538263342103
CDCA5.rescaled	0.08199353201670859
BLM.rescaled	0.08190006947174135
DMRTC2.rescaled	0.08180368789412298
FAM189A1.rescaled	-0.08176761335933823
ARTN.rescaled	0.081745972087815
CDC20.rescaled	0.08169306572943802
FGF20.rescaled	-0.08166235379895337
HELLS.rescaled	0.08148064102139008
MMEL1.rescaled	-0.08130738110824134
TTLL7.rescaled	0.08119059726441291
CDCA3.rescaled	0.08112295635208408
C2orf73.rescaled	0.08107527015492692
CCL15.rescaled	0.08095650669201128
PRDX6.rescaled	0.08081570386103801
CDCA8.rescaled	0.08080779623330832
S100A12.rescaled	-0.08075382808184471
ACOX3.rescaled	-0.08074923083275327
SULT1A3.rescaled	-0.08072598031872338
LRTM2.rescaled	0.0807115647383908
CLSPN.rescaled	0.08069931667852313
