	ALE Value
PRAME.rescaled	5.8476353e-08
SYT1.rescaled	3.8592848e-08
PCDHA12.rescaled	3.825523e-08
SOWAHA.rescaled	2.985668e-08
MKI67.rescaled	2.9609978e-08
SYT13.rescaled	2.8209914e-08
CKMT1B.rescaled	2.794593e-08
TNNT1.rescaled	2.7504257e-08
KLK6.rescaled	2.7488394e-08
TROAP.rescaled	2.7326971e-08
CKMT1A.rescaled	2.720252e-08
HMMR.rescaled	2.7055325e-08
CBLN2.rescaled	2.480752e-08
HOXC12.rescaled	2.4278673e-08
TACC3.rescaled	2.4278647e-08
ERCC6L.rescaled	2.3500455e-08
KIF15.rescaled	2.3082665e-08
PTTG1.rescaled	2.2796401e-08
TMEM215.rescaled	2.2795843e-08
CENPI.rescaled	2.2764526e-08
PAX7.rescaled	2.2580217e-08
CCNA2.rescaled	2.2514948e-08
ATP1A4.rescaled	2.2369806e-08
CDC25C.rescaled	2.2360863e-08
UPK3A.rescaled	2.1782284e-08
BRSK2.rescaled	2.1521325e-08
CDC20.rescaled	2.1074722e-08
KIF11.rescaled	2.104032e-08
YBX2.rescaled	2.0430303e-08
CDKN3.rescaled	1.9915968e-08
KIF4A.rescaled	1.978198e-08
KAAG1.rescaled	1.9702602e-08
HOXC13.rescaled	1.9602586e-08
KLK10.rescaled	1.95881e-08
NTNG1.rescaled	1.9296245e-08
SLITRK6.rescaled	1.9151903e-08
GTSE1.rescaled	1.9136058e-08
ASPM.rescaled	1.8806926e-08
CDCA5.rescaled	1.8666572e-08
ORC1.rescaled	1.8094582e-08
BUB1B.rescaled	1.8035772e-08
KIF20A.rescaled	1.7753594e-08
MCM10.rescaled	1.7728912e-08
POLQ.rescaled	1.758859e-08
KIF2C.rescaled	1.7462956e-08
TBC1D3.rescaled	1.7382556e-08
UGT2B11.rescaled	1.7311285e-08
NUSAP1.rescaled	1.7092963e-08
FAM83D.rescaled	1.6785364e-08
PCDHA6.rescaled	1.6781112e-08
ASCL1.rescaled	1.6778657e-08
IGDCC3.rescaled	1.6752978e-08
ARHGAP40.rescaled	1.6730135e-08
C3orf52.rescaled	1.6641042e-08
SPDYC.rescaled	1.6496031e-08
CCNO.rescaled	1.6451091e-08
S100A7.rescaled	1.6437818e-08
PBK.rescaled	1.6369832e-08
ATAD2.rescaled	1.617001e-08
ESCO2.rescaled	1.6073919e-08
DEPDC1B.rescaled	1.6016882e-08
CCNB1.rescaled	1.5852127e-08
CPNE4.rescaled	1.5601342e-08
POTEF.rescaled	1.5525174e-08
FOXM1.rescaled	1.5406311e-08
IQGAP3.rescaled	1.539479e-08
PRC1.rescaled	1.535353e-08
CENPH.rescaled	1.5304794e-08
DLGAP5.rescaled	1.5295512e-08
KLHDC7A.rescaled	1.517297e-08
RACGAP1.rescaled	1.5096909e-08
HJURP.rescaled	1.4999326e-08
ADAMTS20.rescaled	1.4986403e-08
PCDHA11.rescaled	1.49186e-08
EDARADD.rescaled	1.4787067e-08
NCAPG.rescaled	1.4776319e-08
KLK5.rescaled	1.47275125e-08
DHFR.rescaled	1.4407005e-08
TOP2A.rescaled	1.4357584e-08
HOXC10.rescaled	1.4334643e-08
ESPL1.rescaled	1.4259851e-08
SNAPC5.rescaled	1.4043087e-08
PLK4.rescaled	1.39856295e-08
TP53TG5.rescaled	1.38999e-08
RAD54L.rescaled	1.3891511e-08
TMSB15A.rescaled	1.3884799e-08
KIF14.rescaled	1.3755526e-08
NCAPH.rescaled	1.3712349e-08
ARHGAP36.rescaled	1.3646986e-08
XKR8.rescaled	1.3617023e-08
SLC6A11.rescaled	1.3568968e-08
SLC7A4.rescaled	1.3499326e-08
NEIL3.rescaled	1.3363596e-08
SPC24.rescaled	1.33597835e-08
CNTNAP2.rescaled	1.3329556e-08
GPN2.rescaled	1.3289362e-08
CENPA.rescaled	1.3025349e-08
MYBL2.rescaled	1.3014618e-08
CACNA1H.rescaled	1.29012285e-08
CIT.rescaled	1.2857868e-08
HRK.rescaled	1.2807535e-08
SLC25A48.rescaled	1.27675035e-08
RET.rescaled	1.2745501e-08
SLC1A6.rescaled	1.2674035e-08
TIMELESS.rescaled	1.2642581e-08
DNAH2.rescaled	1.2593461e-08
RAD51.rescaled	1.254506e-08
POTEE.rescaled	1.246756e-08
MUL1.rescaled	1.2392297e-08
E2F1.rescaled	1.2389203e-08
CCBE1.rescaled	1.2366048e-08
HELLS.rescaled	1.22639765e-08
CDCA2.rescaled	1.21462715e-08
C19orf33.rescaled	1.20462e-08
PKMYT1.rescaled	1.2010774e-08
TUBA8.rescaled	1.20062715e-08
ZMAT4.rescaled	1.194491e-08
ADAMTS19.rescaled	1.1943481e-08
THEG.rescaled	1.18993135e-08
EME1.rescaled	1.1878213e-08
ZNF485.rescaled	1.1836008e-08
PANK1.rescaled	1.1835747e-08
ZNF367.rescaled	1.1833213e-08
NBPF3.rescaled	1.1765377e-08
DCDC2.rescaled	1.1717445e-08
RSF1.rescaled	1.1707282e-08
ARHGAP11A.rescaled	1.1693603e-08
OTX1.rescaled	1.1672297e-08
UBE2S.rescaled	1.162275e-08
HOMER2.rescaled	1.15998775e-08
CPB1.rescaled	1.15467875e-08
CENPE.rescaled	1.152811e-08
RAB3B.rescaled	1.1496817e-08
