	LIME Importance
PRAME.rescaled	-0.0033764955301857024
PCDHA12.rescaled	0.002685566428698084
SOWAHA.rescaled	0.001306111401785504
TNNT1.rescaled	-0.0010004748120018931
SYT1.rescaled	-0.0008705289206006213
CKMT1B.rescaled	-0.0007402740082067134
HOXC12.rescaled	-0.000694575570668576
CBLN2.rescaled	-0.0006638159846020432
SLC7A4.rescaled	0.0006108901859738864
KLK10.rescaled	-0.0005804342677593335
SLC5A8.rescaled	0.0005681580477606474
PAX7.rescaled	-0.0005526132611735988
ATP1A4.rescaled	0.0005416826253051402
SYT13.rescaled	-0.0005234418258540771
KAAG1.rescaled	0.00045236596395367614
FAM189A1.rescaled	0.0004382159051415579
HOXC13.rescaled	-0.0004307917369728275
ARHGAP40.rescaled	0.0004211794133445559
TMEM215.rescaled	0.00039168953515990394
KLHDC7A.rescaled	0.0003840802899627766
ERCC6L.rescaled	-0.0003657672163799515
TAT.rescaled	0.00036251123500739943
TBC1D3.rescaled	0.00035463260059346614
KLK6.rescaled	-0.0003407467689636929
BRSK2.rescaled	-0.0003384215577221587
ASCL1.rescaled	-0.00032231185044833056
NTNG1.rescaled	-0.00031194575141145855
MKI67.rescaled	-0.00031091690162839895
UCP1.rescaled	0.0002978665158315685
KLK11.rescaled	-0.0002915418710924736
SPAG6.rescaled	0.00028638024758961724
VSIG2.rescaled	0.00028544679172727284
PCDHA11.rescaled	0.00027418145321844815
UGT2B11.rescaled	-0.0002695901670472497
YBX2.rescaled	-0.0002671426334960047
CPB1.rescaled	0.0002565838006047148
BUB1B.rescaled	-0.00023003380713914796
S100A7.rescaled	-0.00022662428458253454
KLK5.rescaled	-0.00022519743849814267
KNDC1.rescaled	-0.00022517850164497117
PCDHA6.rescaled	0.00022259184354252287
EDARADD.rescaled	0.00022017041588030673
PTCHD1.rescaled	-0.00021387161781812093
PPP4R4.rescaled	0.0002085280445069095
IQGAP3.rescaled	-0.00020523782729599846
NEK10.rescaled	0.0002030451958660658
GHRH.rescaled	0.0001962838589121964
POLQ.rescaled	-0.00019338316216949963
KIF2C.rescaled	-0.0001913068243819095
TNNI3.rescaled	-0.0001896096704189586
CENPI.rescaled	-0.00018626170826649185
CLGN.rescaled	0.0001860891730547127
THEG.rescaled	-0.00018600102365020786
CCNO.rescaled	0.00018282586979899887
VSTM2A.rescaled	-0.0001825039867866812
SPDYC.rescaled	-0.00017983652654920504
CDC20.rescaled	-0.00017784351495421193
POTEE.rescaled	-0.00017759116368779658
SERPINA6.rescaled	0.0001731436145825098
NEIL3.rescaled	-0.00017033867507343568
CCNA2.rescaled	-0.00016479821815078955
ADAMTS20.rescaled	0.00016178644799202198
PATE2.rescaled	-0.0001559104701495888
CDC25C.rescaled	-0.00015580245916748346
RAB3B.rescaled	-0.00015493921455156544
HOXC10.rescaled	-0.00015484765444177261
TDRD12.rescaled	-0.00014798424403087302
CDCA5.rescaled	-0.00014580808223377842
CLIC6.rescaled	0.0001456192206297896
CCNB1.rescaled	-0.00014308323158490957
TROAP.rescaled	-0.00014269243122747315
DCDC2.rescaled	0.00014154321671042418
UPK3A.rescaled	0.0001396490413764714
OR11A1.rescaled	0.000139324391737726
PXDNL.rescaled	-0.0001391066784863886
CYP2A6.rescaled	0.0001369162289326089
GTSE1.rescaled	-0.00013525966788168901
XKRX.rescaled	-0.00013401349636103514
SLITRK6.rescaled	-0.00013382180182231127
SOX11.rescaled	-0.00012578765265466025
MMP11.rescaled	-0.0001246516139467557
IGSF1.rescaled	0.0001241771624529389
PALM3.rescaled	-0.00012299672163780306
MYL7.rescaled	0.00012016811081635591
ORC1.rescaled	-0.00011893214261844808
ARHGAP36.rescaled	0.00011527402746283755
WRAP53.rescaled	-0.0001149332279943056
SLC4A4.rescaled	-0.00011473444575141462
NEU4.rescaled	-0.00011251066437888754
GRIK1.rescaled	0.00011011544076509413
PLCB4.rescaled	-0.00010809431962961546
NUDT3.rescaled	0.0001062024801389095
ZMAT4.rescaled	-0.00010602821189889789
SORCS1.rescaled	-0.00010580030811607264
FOXA1.rescaled	0.00010519101521759796
SOX2.rescaled	-0.00010478957271151085
SLC16A9.rescaled	0.00010463561171996122
HMMR.rescaled	-0.00010314469884073784
MAPK4.rescaled	0.00010178885292142325
CDKN3.rescaled	-9.976301386338955e-05
ASPM.rescaled	-9.705288661984272e-05
SAMD13.rescaled	9.656514283367574e-05
ADAMTS19.rescaled	-9.644454045284437e-05
GAD1.rescaled	9.629482623329888e-05
PITHD1.rescaled	9.61863754337161e-05
KIF20A.rescaled	-9.610132956798942e-05
RSF1.rescaled	-9.577656619206124e-05
CST4.rescaled	-9.573444346977784e-05
KRT6A.rescaled	-9.555101096985982e-05
TDRD5.rescaled	9.531591339702665e-05
CENPA.rescaled	-9.526720692690555e-05
OTX1.rescaled	-9.515240441025191e-05
MYBL2.rescaled	-9.514274841642336e-05
SLC25A48.rescaled	-9.471873133209995e-05
NDP.rescaled	9.465580616215694e-05
PCDHA7.rescaled	9.28834943771755e-05
AGXT2.rescaled	-9.282140732688e-05
CLC.rescaled	9.271047118248888e-05
SHROOM1.rescaled	9.239588943736244e-05
NCAPG.rescaled	-9.232812729582258e-05
