	shap_value
OR1L8.rescaled	0.005177456188903172
ARHGAP40.rescaled	-0.004650871528268771
GRPR.rescaled	0.004372100431010498
GPR25.rescaled	-0.004322777251488813
S100A7.rescaled	0.0037887170790768606
KLHDC7A.rescaled	0.003588328935535545
ZNF676.rescaled	-0.003587301199774958
SYT9.rescaled	0.0034749890589373025
ADAMTS19.rescaled	-0.00341305207902265
NXNL2.rescaled	0.0033437230978224804
FAM189A1.rescaled	0.0032608444117572175
THEG.rescaled	0.0032586050027280534
PCDHA3.rescaled	0.003143966014633308
QRFP.rescaled	0.0030089012439595995
VWA2.rescaled	0.002899789566726863
SIGLEC14.rescaled	0.002746828560336818
PMCH.rescaled	-0.0026794377918734377
STAT1.rescaled	0.0025785533075558414
GLYATL1.rescaled	-0.0025339752403938766
HOXB5.rescaled	0.0024720924795763014
GRM4.rescaled	-0.0024322926324952324
SRPK3.rescaled	-0.0024180446151930947
OPRD1.rescaled	0.002413027652657368
TTPA.rescaled	0.002390678382816176
PNPLA3.rescaled	0.0023312923537372287
FGF20.rescaled	0.0023105017841109736
KNDC1.rescaled	0.002253291939188742
SH2D2A.rescaled	0.0022532087643951223
PATE2.rescaled	0.002246955909373588
GPR31.rescaled	0.00224057397383291
PCDHA12.rescaled	0.002220917684211424
ARHGEF38.rescaled	0.0022205015191012483
MUC6.rescaled	-0.0022088706502523315
GRB14.rescaled	-0.0021976170989939
SYT1.rescaled	-0.002183554675833398
SLC17A9.rescaled	0.002147377452605536
MRPL11.rescaled	0.002134758049683274
TPSG1.rescaled	0.002076985226130266
AREG.rescaled	0.0020699542718642877
CELF5.rescaled	0.0020513781262782114
ATP1A4.rescaled	0.0020479106979474702
TMEM171.rescaled	0.00203444273930334
KAAG1.rescaled	0.0020286671187704766
CACNA1H.rescaled	-0.002023237095774492
HOXB6.rescaled	0.00199768356671308
CD177.rescaled	0.0019936917006307016
MUC5B.rescaled	-0.0019874509521280287
BCL2L10.rescaled	-0.0019835449706597673
CCDC158.rescaled	0.0019505713285028765
ZFR2.rescaled	-0.001919670544767741
ANKRD30A.rescaled	0.0019169769408956066
SGPP2.rescaled	0.0019154143083926626
DCDC2.rescaled	0.00185587427350176
CFHR3.rescaled	-0.001841359197326208
S100A9.rescaled	0.0018338707141388785
CXorf38.rescaled	0.0018285726954345744
CTAGE4.rescaled	-0.001826977541569658
GTF2H2.rescaled	-0.001817568171187192
IGDCC3.rescaled	0.0018000593330926749
ANKRD18A.rescaled	-0.0017897792652268292
UCP1.rescaled	-0.001779203307035161
ATRNL1.rescaled	-0.001777372106672575
IFI44.rescaled	0.0017737003736035995
HSD17B2.rescaled	0.001758151129163705
AANAT.rescaled	0.0017270125050939285
POMZP3.rescaled	0.0017164829441640309
KLRK1.rescaled	-0.0017131342492847513
SAMD9L.rescaled	0.0017129720325649595
PCDHA4.rescaled	0.001700016490075332
IFIT3.rescaled	0.0016997023098825363
ADAMDEC1.rescaled	0.0016986273292059336
CHRNA5.rescaled	0.0016866587842898116
WDR6.rescaled	0.0016832280138646522
MYBPC1.rescaled	-0.0016806303687660412
OXT.rescaled	0.001678617759380796
GGH.rescaled	0.001674005192569181
BRDT.rescaled	-0.001670207532877034
TBC1D3.rescaled	0.0016641487416737117
ZNF726.rescaled	0.0016516320878836091
SLC10A5.rescaled	0.0016440408177182853
BMPR1B.rescaled	0.001638049998523479
SULT2B1.rescaled	-0.0016354918736291107
MX1.rescaled	0.0016290790492997944
DLGAP1.rescaled	-0.001628880553484641
PEG10.rescaled	0.0016284751857801416
FANCA.rescaled	0.0016188696743928927
CIB3.rescaled	-0.0016089909309402615
SLC24A2.rescaled	0.0016069639394261609
WFDC2.rescaled	-0.0016069106720886673
LEKR1.rescaled	-0.0016053054668201039
GINS1.rescaled	0.0016004781598729393
CXCL11.rescaled	0.0015910939664147453
KIF5C.rescaled	-0.0015878905075420102
MYBL2.rescaled	0.0015852733569099125
LAG3.rescaled	0.0015844287599877452
IL2.rescaled	0.0015789126923875564
MTRNR2L5.rescaled	0.0015778186283089608
POU5F2.rescaled	0.0015737879448720305
NR4A2.rescaled	-0.0015708882211690415
SDR16C5.rescaled	-0.0015483884248220828
OR1J1.rescaled	0.0015353562368516783
RBM24.rescaled	0.0015334839713703394
IFI27.rescaled	0.0015263759535221605
CEACAM5.rescaled	-0.0015262773430704496
SCML4.rescaled	0.0015180052337949847
POTEF.rescaled	0.0015134798997924188
AMHR2.rescaled	-0.0015133406719936484
ADORA1.rescaled	0.0015111821331011696
GAD1.rescaled	-0.0015083894360133465
CLIC6.rescaled	-0.001506271519920819
E2F8.rescaled	0.0015044023959521313
OR51E2.rescaled	-0.0015023502179728045
PNLIPRP2.rescaled	-0.0015000377004922537
CDC20.rescaled	0.001490962246068272
WDR72.rescaled	-0.0014815134137660228
OR52N4.rescaled	0.0014811727046813326
CNTN3.rescaled	-0.0014754935841379791
SPAG6.rescaled	0.0014748701474621576
ZBED2.rescaled	0.0014741943533892131
ZIM2.rescaled	0.0014689698484192512
OLFM4.rescaled	-0.0014586862249749682
RAB39B.rescaled	0.0014559732966627874
MTRNR2L1.rescaled	-0.0014545693926537246
RET.rescaled	-0.0014522341198032758
FUT3.rescaled	0.0014444542421526902
CENPN.rescaled	0.001441849994063233
KCTD14.rescaled	0.0014342845579755708
PCDHA2.rescaled	0.0014340668175628452
RGPD5.rescaled	-0.0014248478732375737
WDR38.rescaled	0.0014206527441759395
CDT1.rescaled	0.0014179693238166168
SLC22A3.rescaled	-0.001413561392698114
CST4.rescaled	0.0014131642492855416
POTEE.rescaled	0.001405102056269539
C1orf194.rescaled	0.0014039711132024196
SYT13.rescaled	-0.0014011419504975499
IFI44L.rescaled	0.0013966398052313376
IFIT2.rescaled	0.001388819881015604
ORC1.rescaled	0.0013871276072393722
RASSF10.rescaled	0.0013829192449532795
OAS2.rescaled	0.0013788664237100508
ZNF695.rescaled	0.0013723118097158907
OASL.rescaled	0.0013692328074688409
GALNT10.rescaled	-0.001365449643996413
CENPW.rescaled	0.001364994960932716
CCR8.rescaled	0.0013635481953752585
IL27.rescaled	0.0013606479469727337
NPFFR1.rescaled	0.0013598799108312236
PCP2.rescaled	0.0013553513549438953
RSAD2.rescaled	0.001354671058401648
NCAM2.rescaled	-0.0013543650759594915
APOBEC3H.rescaled	0.0013541373026580165
RHBDF2.rescaled	0.0013539925598227687
KIF18B.rescaled	0.0013511160508855539
C5orf63.rescaled	-0.001349635856129744
MCCD1.rescaled	0.0013486634503573952
GATA1.rescaled	0.0013401294510520896
SLC25A35.rescaled	0.0013365509540750346
IFIT1.rescaled	0.0013347631089854557
PPP1R14C.rescaled	0.0013333454261006984
TXK.rescaled	0.001328016333478893
S100A12.rescaled	-0.0013245403095871319
MPP7.rescaled	0.0013206762346629475
KLK1.rescaled	-0.001320491096606818
TMSB15A.rescaled	0.0013191195866708708
FAM83E.rescaled	0.001317169368107698
CAMP.rescaled	0.0013164632132020633
EFR3B.rescaled	-0.0013146023499172757
EIF4EBP1.rescaled	0.0013137484829582081
GABRE.rescaled	0.0013124840950886733
CDH7.rescaled	-0.001310058666201815
ANKRD20A1.rescaled	-0.0013095064429114404
C11orf42.rescaled	0.0013087425447180048
ASS1.rescaled	-0.0013058415501209114
CNFN.rescaled	-0.0013056891614989094
CARD9.rescaled	0.0013049598046072457
SLC16A9.rescaled	0.0013026062049720378
CMPK2.rescaled	0.0012990545945745582
CIRBP.rescaled	0.0012983939841112043
PSME2.rescaled	0.0012948259427305417
PCDHA11.rescaled	0.0012915438436068127
C2orf16.rescaled	0.0012910903101630148
PDCD1LG2.rescaled	0.0012855316577963152
PSMB9.rescaled	0.0012819995522690526
GINS2.rescaled	0.001278343065718986
CALML5.rescaled	-0.0012756752033878233
OR52K2.rescaled	-0.0012740725332291906
ZNF729.rescaled	-0.001271794825647909
IGFALS.rescaled	0.001268806990868321
LYPD6.rescaled	0.0012686587393830988
STAT4.rescaled	0.0012679751336691853
TMEM31.rescaled	0.0012668831304023494
CHAF1B.rescaled	0.0012649525849945755
EIF3E.rescaled	0.0012620087684616266
FGF16.rescaled	0.0012611114385494364
PYROXD2.rescaled	0.0012590760048997237
SLC9A2.rescaled	-0.001258313258915424
CTLA4.rescaled	0.001253918155217234
KYNU.rescaled	0.0012514692163790465
DLEC1.rescaled	0.0012503887094714053
ATP1A3.rescaled	0.0012485670708681411
CCNB1.rescaled	0.0012483113751805745
SLC44A1.rescaled	0.0012474849970232542
CD274.rescaled	0.001245742198800544
CD226.rescaled	0.001245205238903048
MUC16.rescaled	-0.0012428014601556388
GBP4.rescaled	0.0012402105798039653
GRIA2.rescaled	0.00123882375498136
TXNL4B.rescaled	0.0012380493699589257
PABPC1.rescaled	0.0012354736720077836
HOXB8.rescaled	0.001233149777764357
TMEM212.rescaled	0.0012328133841649886
TAP1.rescaled	0.0012325184796825415
NME9.rescaled	0.001231496595727656
GBP5.rescaled	0.0012288911601725956
DPH3P1.rescaled	0.0012246229319867875
FPR3.rescaled	0.0012232192905193685
ABHD12B.rescaled	0.0012232060164654953
PLK1.rescaled	0.001221664187593026
TAT.rescaled	-0.0012207231099281215
PPARGC1B.rescaled	0.0012201182469800706
CDC45.rescaled	0.001219948876973085
VSX1.rescaled	0.0012197549365820745
MKI67.rescaled	0.0012196297412948591
SLC30A2.rescaled	0.0012164264867512034
PDCD1.rescaled	0.0012138747170741854
RNF224.rescaled	-0.001209006210929203
CLSPN.rescaled	0.0012078389086646554
RNF212.rescaled	0.0012057793106068876
GATA5.rescaled	0.0012055902250083788
IL2RA.rescaled	0.0012052636209378092
STC2.rescaled	0.001203190784468867
GTSE1.rescaled	0.0012016567137021906
ENPP5.rescaled	0.0011957146047196056
PLCH2.rescaled	-0.0011952935822990742
AURKA.rescaled	0.0011926764954552861
IFI6.rescaled	0.001191989167252474
CCNJL.rescaled	-0.0011900414193241752
USP18.rescaled	0.0011876616339863675
CRIP3.rescaled	0.0011863498639759578
ZBP1.rescaled	0.0011860507683575895
MCM10.rescaled	0.0011835384806676646
WBP1.rescaled	0.0011830649473742688
SKA3.rescaled	0.0011830458323377397
CAPN8.rescaled	0.0011825207073078896
POLQ.rescaled	0.0011815593697480022
IL15RA.rescaled	0.0011787688144615932
ABCD2.rescaled	0.00117667773053449
TTK.rescaled	0.0011741592216975873
CCL14.rescaled	-0.0011740493105629741
CNTNAP3B.rescaled	-0.0011739929486535496
EXO1.rescaled	0.0011726394739560067
LYPD6B.rescaled	0.0011676911898492845
ADAMTS6.rescaled	0.0011673785359220608
EZH2.rescaled	0.0011667208476822898
ULBP3.rescaled	0.001165674335222863
GBP1.rescaled	0.0011615552363891076
VSTM1.rescaled	-0.0011601898615308493
C1QTNF7.rescaled	0.001159822153370916
FCAR.rescaled	0.0011588912552126269
IMPA2.rescaled	0.0011567176677663585
CDC25A.rescaled	0.0011555920457434977
ZFP37.rescaled	-0.001151974964810358
ISG15.rescaled	0.0011478004264711917
SBK2.rescaled	0.0011466678893366777
KIF14.rescaled	0.0011465201255653932
GKAP1.rescaled	-0.0011427736989360433
GSTP1.rescaled	-0.0011400833527128455
KLKB1.rescaled	-0.0011390993295153696
ASPN.rescaled	0.0011374021083142471
FUT6.rescaled	-0.0011361167729115919
REC8.rescaled	-0.0011359315514446753
CACNG1.rescaled	-0.0011338595849706109
TIMD4.rescaled	0.0011324320889614103
KCNJ10.rescaled	0.0011319405080926542
AMD1.rescaled	0.0011316101290414229
WT1.rescaled	-0.0011259408300498695
NPPA.rescaled	-0.0011250860262954502
DKK1.rescaled	0.0011232115251614096
DDX60.rescaled	0.0011199327618668928
ADH1B.rescaled	-0.0011186857320821667
CCDC154.rescaled	0.0011176962641954618
BIRC5.rescaled	0.0011176063166018519
FOXN4.rescaled	0.0011128188975602891
KLK4.rescaled	0.0011117599155620337
IL1RL2.rescaled	-0.0011096956321675817
CILP2.rescaled	0.001102051321327087
PTGER3.rescaled	0.0011018592386077286
C10orf67.rescaled	0.0011016127425390778
NEU4.rescaled	0.0010999643252367173
CDCA2.rescaled	0.0010996307513983913
MND1.rescaled	0.0010976600564491666
CCDC110.rescaled	-0.001094727125719294
ZDHHC19.rescaled	-0.0010946598746383064
SHOX.rescaled	0.0010933710726202925
MYOZ3.rescaled	0.0010916120491305669
UBE2S.rescaled	0.0010914208757741857
THNSL2.rescaled	-0.0010883377030424697
RHBDL1.rescaled	0.0010878762378098853
TACC3.rescaled	0.0010854495042651698
HESX1.rescaled	0.0010850565705045072
KDM4B.rescaled	0.001084913788974351
BATF2.rescaled	0.0010831367664415085
PER3.rescaled	0.0010803267806714749
CXCL6.rescaled	0.0010790589285174716
RPA4.rescaled	0.0010779852940070512
FCHO1.rescaled	0.0010774453024140521
CCNB2.rescaled	0.0010747102488401178
CDKL3.rescaled	-0.0010728355501070156
CDHR4.rescaled	0.0010721719403174951
NOVA1.rescaled	0.0010719751438354034
NTN4.rescaled	0.0010707291807253937
LEFTY2.rescaled	-0.0010698288397640596
CDCA8.rescaled	0.0010676962723877835
KCNG1.rescaled	0.0010665998562670856
PLCXD1.rescaled	0.0010656544836370044
VGLL1.rescaled	0.0010643971031709212
GIMAP5.rescaled	0.0010618394803971565
UBE2C.rescaled	0.0010613242096534107
PSAT1.rescaled	0.0010598765267194798
BUB1.rescaled	0.0010587394126171565
NHLRC4.rescaled	0.0010553347287661306
TTC29.rescaled	0.0010546116039683723
XCR1.rescaled	-0.0010544269254997899
EPB41L4A.rescaled	0.0010539127120698345
CDCA5.rescaled	0.0010518094889486092
LRRC66.rescaled	0.001051174082662716
CTSC.rescaled	0.0010508936547885012
SLC25A18.rescaled	0.0010503430515815882
ESRRG.rescaled	-0.0010503261478475561
CCDC126.rescaled	0.001049786355176542
THRSP.rescaled	0.0010492717426289649
ORM1.rescaled	0.001047647526445104
AQP5.rescaled	0.0010473907851392262
CACNG4.rescaled	-0.0010467971514625308
IL23R.rescaled	0.00104663416937035
DLX2.rescaled	-0.001045834127555599
SLFN13.rescaled	0.0010450030831162815
LDHC.rescaled	-0.0010436007903222493
MCF2L2.rescaled	0.0010413225470555225
DNAH3.rescaled	0.0010408846725471976
C2.rescaled	0.0010404580060188507
PGAM4.rescaled	-0.0010386800723282768
MELK.rescaled	0.0010344761974804845
ARHGDIG.rescaled	0.00103034643255787
RIBC2.rescaled	0.0010292323385236658
MARCO.rescaled	0.001029173428523478
RUNDC1.rescaled	0.0010288873270922383
NELL2.rescaled	-0.0010287016644753722
NCAPH.rescaled	0.0010264758497951312
KIF2C.rescaled	0.001025461651979147
TMEM150B.rescaled	0.0010254465768951872
TUBB4A.rescaled	0.0010212691915840054
DDX58.rescaled	0.0010195468411742284
CXCL10.rescaled	0.0010177514747696124
KLRC2.rescaled	-0.0010172876103190177
CARD17.rescaled	0.0010156555459718975
HSP90AA1.rescaled	0.0010149862178260986
CGA.rescaled	0.0010126993367212606
C8orf76.rescaled	0.0010123168575144155
IZUMO4.rescaled	0.0010104210223865196
AURKB.rescaled	0.0010101731696966604
ASCL2.rescaled	0.0010090417521803675
C14orf180.rescaled	-0.0010081708912769536
CNKSR3.rescaled	0.001007950292074282
GPR137C.rescaled	-0.0010073606101696914
LTB4R2.rescaled	-0.0010060245669112802
SLC25A19.rescaled	0.0010054699682844027
ZNF540.rescaled	-0.0010050729361124678
NUF2.rescaled	0.0010048143955998779
PFDN4.rescaled	0.001004715700498859
NPW.rescaled	0.0010044618012495419
TMC5.rescaled	0.0010038412517755582
TRPA1.rescaled	0.001003285954092284
LMNB1.rescaled	0.0010009402930529607
REEP1.rescaled	0.0009996496883345706
ANKS1B.rescaled	-0.0009985285342247673
LRR1.rescaled	0.000998279696257133
KRT15.rescaled	0.0009968796369927365
KCNE2.rescaled	0.0009957141017822551
NAT1.rescaled	0.000992991497523676
SIRPD.rescaled	0.000989769081555959
PRKX.rescaled	0.000988246657116248
SYT3.rescaled	-0.000988219405434451
IL7.rescaled	0.0009877831968706863
AGTR1.rescaled	0.0009873875808998622
SLC9B2.rescaled	-0.000987355612090829
COL4A4.rescaled	0.000986532130026562
MCM4.rescaled	0.0009860049851092782
RNF114.rescaled	0.0009840821841925643
ENTPD5.rescaled	0.000983793499113345
TMEM215.rescaled	0.0009820710666079277
MYCBPAP.rescaled	-0.000982054080073387
PTCHD1.rescaled	0.0009800390048182433
TMEM63C.rescaled	0.000977253632677798
PLCXD2.rescaled	-0.000976877268405218
MYB.rescaled	0.0009768367376378818
ASPDH.rescaled	0.0009767032717728687
ANP32C.rescaled	-0.0009748638985948957
KIFC1.rescaled	0.0009734558755439116
BCAR3.rescaled	0.0009713705864830834
OTUB2.rescaled	-0.0009712466753829297
XAF1.rescaled	0.000969719604766368
SLC23A3.rescaled	0.0009697155438059002
CACNG6.rescaled	0.0009696452096387131
PCP4.rescaled	0.0009694469455730132
CPA6.rescaled	-0.0009680396405707153
FAM83D.rescaled	0.000966543588645054
KRT86.rescaled	0.0009659131438071201
MYO3B.rescaled	-0.000964600709102174
CDC20B.rescaled	0.0009644978844363677
DNAJA1.rescaled	0.0009644624743857196
