	SHAP Value
NEK10.rescaled	-0.0009213974360143687
SERPINA11.rescaled	-0.0009102628530834111
ANKRD30A.rescaled	-0.0008955273549829285
TAT.rescaled	-0.0008906581026928959
SLC7A4.rescaled	-0.0008793800938575315
TCEAL5.rescaled	-0.0008583267398357291
PHGR1.rescaled	-0.0008472725569646631
COL17A1.rescaled	-0.0008422128996506601
PGR.rescaled	-0.00082235169702152
IL4I1.rescaled	0.0008148287213387991
KCNJ10.rescaled	0.0008008949567340752
MMP1.rescaled	0.0007948195630563922
SCN7A.rescaled	-0.0007933181660691085
TMEM132C.rescaled	-0.0007915258519442328
CAPN8.rescaled	-0.0007853652710386666
ST8SIA6.rescaled	-0.000777081722085545
TNXB.rescaled	-0.0007750804084358212
SLC44A4.rescaled	-0.0007736687448740106
ABCA8.rescaled	-0.000771855638205161
SPATA4.rescaled	-0.0007689015250590706
DLX2.rescaled	-0.0007688015930819419
ZBED2.rescaled	0.0007588754418743729
CD80.rescaled	0.0007580546813048524
KIF2C.rescaled	0.0007516668042353374
AGR3.rescaled	-0.000743225774288419
PHYHD1.rescaled	-0.0007323411097201215
FAM72A.rescaled	0.0007306271623396175
LYPD6.rescaled	-0.0007292795046997575
AVPR2.rescaled	-0.0007289835064603891
CD300LG.rescaled	-0.0007271877364624377
RAPGEF3.rescaled	-0.0007259657306838749
ESR1.rescaled	-0.0007255520299639999
KCNE4.rescaled	-0.0007254656835035423
KCNE1.rescaled	-0.000725125094159749
ANKRD30B.rescaled	-0.0007235719730236652
SYT9.rescaled	-0.0007194652514486647
CMA1.rescaled	-0.0007168016981632643
ABCA10.rescaled	-0.0007094400085351501
GRIA4.rescaled	-0.0007093701566796941
LRGUK.rescaled	-0.0007090420095198576
DYNLRB2.rescaled	-0.0007090180268601071
CCDC158.rescaled	-0.0007071516033829066
CLEC6A.rescaled	0.0007041011387934864
CDCA5.rescaled	0.0007037766090817601
ADAMTS15.rescaled	-0.0007032811268903432
AK5.rescaled	-0.0007022547701443213
CT62.rescaled	-0.000702103623915184
PIP.rescaled	-0.0006990965107203675
MCM10.rescaled	0.0006977836124068997
RERGL.rescaled	-0.0006977831186930851
SPAG6.rescaled	-0.000697154723198903
POLQ.rescaled	0.0006932731357299175
CARD10.rescaled	-0.0006913444435120455
PTPRT.rescaled	-0.0006913423985884168
NXNL2.rescaled	-0.0006911557348156067
THSD4.rescaled	-0.0006900602112714325
AQP7.rescaled	-0.0006893661404855686
CDC20.rescaled	0.0006882726333885151
CDCA8.rescaled	0.0006869517762114706
MYBL2.rescaled	0.000686671374531151
TFAP2B.rescaled	-0.0006859901623433137
ZBTB7C.rescaled	-0.0006852903699271094
OXTR.rescaled	-0.0006799695648699998
ZNF214.rescaled	-0.0006799470148458878
KIF18B.rescaled	0.0006794855140288801
SLC7A3.rescaled	-0.0006793103810990014
NCAPH.rescaled	0.0006777565235781142
ERBB4.rescaled	-0.0006772606463768126
NTF4.rescaled	-0.0006754902455612554
PTTG1.rescaled	0.0006738335811424403
VWA2.rescaled	-0.0006733220399065547
WDR31.rescaled	-0.000672586133599267
FMO5.rescaled	-0.0006699771287940386
RNASE4.rescaled	-0.0006672995853090552
NEK5.rescaled	-0.0006659392914821991
WNK4.rescaled	-0.0006656081521590712
PLK1.rescaled	0.0006651185512684913
LCN6.rescaled	-0.0006641178759503645
ADH1B.rescaled	-0.000663522065497283
FAM189A2.rescaled	-0.0006632886509540161
ZNF695.rescaled	0.0006622882614211025
MLPH.rescaled	-0.0006612821800600584
PRAME.rescaled	0.0006607631272430827
HPSE.rescaled	0.000660507635777311
ABCC8.rescaled	-0.0006596888934115277
CASP5.rescaled	0.0006595496255982832
MMRN1.rescaled	-0.0006585729554895858
ADAMDEC1.rescaled	0.0006566637450163506
CENPA.rescaled	0.0006558994954139008
NOSTRIN.rescaled	-0.000655511778269266
FOXA1.rescaled	-0.000654698186246436
SPARCL1.rescaled	-0.0006545737098734364
C7.rescaled	-0.0006543910976169277
TP63.rescaled	-0.0006540142356419293
TPO.rescaled	-0.0006537896645154395
SETBP1.rescaled	-0.0006529777527235944
E2F1.rescaled	0.000650702956245985
