	feature_importance
OR1L8.rescaled	-0.19113897163528068
TBC1D3.rescaled	0.17667677758493738
SLC7A4.rescaled	-0.15109654137098708
TYW1B.rescaled	-0.15084388654465228
TMEM26.rescaled	-0.14322116004884142
AMH.rescaled	0.14130393343716524
THEG.rescaled	0.14108331796315626
CDC25C.rescaled	0.1369670690173454
KNDC1.rescaled	0.13254796446877196
ZMAT4.rescaled	0.13247663970869522
ANP32C.rescaled	-0.12932563325762877
ARHGAP40.rescaled	-0.1282107895207639
FGF20.rescaled	-0.1277491808989441
CECR2.rescaled	0.12340995021268414
OXT.rescaled	-0.1182008231071817
NXNL2.rescaled	-0.11738454921048631
INSM1.rescaled	0.11697649980665598
C19orf33.rescaled	0.11603991218560085
QRFP.rescaled	0.1141569364740705
SCN8A.rescaled	0.11238833246792507
CNGA3.rescaled	-0.11205456279870604
TTPA.rescaled	0.11178454526443009
RNF224.rescaled	0.11132018486711358
SBK2.rescaled	0.11074825515983572
GRPR.rescaled	-0.11028539642864812
ZNF676.rescaled	0.11018380031586919
OTX1.rescaled	0.10973519751946809
OPRD1.rescaled	0.10968518785593406
KIF20A.rescaled	0.10921323756736756
MRPL11.rescaled	0.10895186853893532
E2F8.rescaled	0.1084572532879159
ZNF726.rescaled	0.1083591863230604
RGPD4.rescaled	0.10774428936635123
TBX20.rescaled	0.10733585281316776
UTS2R.rescaled	-0.10712660547328386
CDKN3.rescaled	0.10669788866316562
GPR25.rescaled	-0.10653561806352067
SYT13.rescaled	0.10644869791158215
MCCD1.rescaled	-0.10628038091523423
PYROXD2.rescaled	-0.10614660145896757
RPA4.rescaled	0.10576506971516597
PTTG1.rescaled	0.10561678520807077
CELF5.rescaled	0.10473690077186695
PATE2.rescaled	0.10466588871419445
TMC5.rescaled	-0.10460417821896673
SIM2.rescaled	0.10431872956084075
UCP1.rescaled	-0.10392286478620857
GTF2H2.rescaled	0.10343990637190101
ADAMTS19.rescaled	0.10330980776728182
CLDN20.rescaled	0.10294267510636614
XKRX.rescaled	0.10248201693474059
SCGB2B2.rescaled	0.1024266609120866
PMCH.rescaled	-0.10241435995220242
DLX2.rescaled	-0.10182351844371444
GINS1.rescaled	0.10128669981675581
ABHD12B.rescaled	0.10101199635786011
HOXC11.rescaled	0.10092665463488246
C15orf48.rescaled	-0.10066223190784129
S100A7.rescaled	0.09975925732589293
APOBEC3H.rescaled	0.09941123333148973
OR2A1.rescaled	0.09928084204560535
ASPM.rescaled	0.09851020893323896
SPATA22.rescaled	-0.0983751890221255
SGPP2.rescaled	0.09829771011288035
PEG10.rescaled	0.09826311532661221
PHGR1.rescaled	-0.09808656281973098
NPPC.rescaled	0.09790388551918776
TNN.rescaled	-0.09779271793980325
ATP1A4.rescaled	-0.09771067467181974
CENPI.rescaled	0.09770214189021473
TAS2R31.rescaled	-0.09735505751565382
POLQ.rescaled	0.09707149778268838
ESCO2.rescaled	0.09665300966447059
CKAP2L.rescaled	0.09647447526402819
KIF14.rescaled	0.09640025807263668
ESPL1.rescaled	0.09634115090853483
RDM1.rescaled	0.09603452296299039
KLHDC7A.rescaled	-0.09594991928739645
GRIK1.rescaled	-0.09566731696296214
WT1.rescaled	-0.09542575601920772
PTGER3.rescaled	-0.09540216077602257
CCNB1.rescaled	0.09538696675804506
KIF2C.rescaled	0.09531293512733392
ERAP2.rescaled	0.09484690213136397
DLGAP5.rescaled	0.0947049520241038
CENPK.rescaled	0.09422670919769818
HELLS.rescaled	0.09415053738505569
RACGAP1.rescaled	0.0939272827515743
NLRP2.rescaled	-0.0938357464382877
ASF1B.rescaled	0.09381852329534533
PPP1R36.rescaled	-0.09372335430019477
PCDHA3.rescaled	-0.09370505853096503
LMNB1.rescaled	0.09347487425456107
KIF11.rescaled	0.09333624782880812
RTBDN.rescaled	0.09332349415157455
FBXL8.rescaled	-0.09301912208380544
HOXC10.rescaled	0.09300314687597845
MTHFR.rescaled	-0.09261167803667135
TMEM171.rescaled	0.09253142656403705
KIF15.rescaled	0.09240915693584459
GMNN.rescaled	0.09226831572230414
ZIM2.rescaled	0.09218601947070464
BMPR1B.rescaled	-0.09206264497369171
DENND1B.rescaled	-0.09185323655915673
TMEM191C.rescaled	0.09175366359341353
FAM111B.rescaled	0.0914966778016604
SARDH.rescaled	0.09131432769826948
HOXB13.rescaled	0.09104642296575763
ANKRD18A.rescaled	-0.09075042389278695
DLGAP1.rescaled	-0.09063719162066457
KIF4A.rescaled	0.09060412693372916
PROK1.rescaled	-0.09017957954080828
GRM3.rescaled	0.09014360340281001
CCL16.rescaled	-0.09009715982389294
LRRC3.rescaled	0.09003184514350916
AURKA.rescaled	0.0898855161098984
RHOXF1.rescaled	0.08980770199908011
IGDCC3.rescaled	-0.08969239744120375
CCNB2.rescaled	0.08967669826641184
ERCC6L.rescaled	0.08952955673375682
CDCA8.rescaled	0.089454240360044
HOXB5.rescaled	-0.08938079518467633
CLIC6.rescaled	-0.08936014318163192
CD300LG.rescaled	-0.08890998758987355
CD177.rescaled	-0.08889210641255872
GRB14.rescaled	-0.08822544503905375
MKI67.rescaled	0.0880783164384665
CENPN.rescaled	0.0879035571055624
KIR2DS4.rescaled	0.0878795004652347
SPESP1.rescaled	0.08775672658751255
S100A12.rescaled	-0.08759225888884214
C11orf80.rescaled	0.08752800001195817
ESPNL.rescaled	-0.0872869528299113
RDH16.rescaled	0.08728658986148935
SYT1.rescaled	0.087032158957532
OR51B5.rescaled	-0.08697027574030325
TPX2.rescaled	0.08695276674287562
GTSE1.rescaled	0.08681304729759706
MOGAT3.rescaled	0.086549616299728
MYBL2.rescaled	0.08654539011205323
